Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,ModeTran,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, -2.056123799617e-05, 0, 0, -10.14097686311, 0.7334524563246, 8.299337205796, 0.6760016701841, 8444.052084621, 5212.550118883, 8915.126811926, 4742.640097044, 7, -111.2574082769, 0, 110.5279989284, 0, 0.4558680883921, -0.03353336098114, -0.3717525398574, -0.0309539733625, -0, 0.05447853718346, 0.05448321542157, 0.03661070020151, -0.03660372444036, 0.03661071675097, 0.3368005077736, -0.03660370789122, -0.2635795521886, -0.03660370789122, 0.0001480645308697, 0.0001513422650599, 0.0001487744849574, 0.0001513422650599, 0.2, -0.2, 0, -300, -303.0299848316, -300.5, -299.9996619801, -303.030085307, -299.9996629309, -303.0298843562, 0, 0, 0.1996805585704, 0.007356955057312, -0.1997488424756, 0.007356955057312, 0, -0.0003538814230082, 0, 0.7822730032412, 0.7821459524431, -0.78272667727, -0.7828537152891, -0.01547170976626, 0.3474093012156, 0, 0.3400280569601, 0.346909397039, 0.3390280576163, 0.3479092053921
0.025, 0.02444498416419, 0.0002842247591861, 0, 0, 257.6287407136, -9.903427097382, -229.8248194353, -9.98978094199, 8633.322355729, 4991.847130497, 8673.280346776, 4957.798841036, 7, -136.9556149778, 0, 138.646750507, 0, -11.56424156184, 0.4522366325057, 10.31299874513, 0.4563148543126, 0.2145462461815, 0.05266520224555, 0.05266539124372, 0.03814465309107, -0.002652197822688, 0.03814466920517, 0.3307829747705, -0.002652196702267, -0.2775543652605, -0.002652196702267, 0.3186106928118, 0.3186788525032, 0.3186231331783, 0.3186502191513, 0.1994866945978, -0.1918247722829, -0.01015926027254, -299.3055865837, -302.3355449506, -299.8055865837, -299.3052716676, -302.3356074061, -299.3052368941, -302.3354824951, 0.000490577167783, 0, 0.1996740270414, 0.004573084460617, -0.1910784919974, 0.004573084460617, 2.075232185004e-05, -0.0003213792789874, 0, 0.7823078493892, 0.7821786173902, -0.7827004192371, -0.7828213759482, -0.01541446541312, 0.3474152698708, 0, 0.3396255690171, 0.3473790482863, 0.339542228032, 0.3474514914553
0.05, 0.03383979534948, 0.0003318659655566, 0, 0, 312.4318982058, 5.154109843782, -313.5061271523, 5.128850957141, 8621.551087088, 5021.67216928, 8600.547270266, 5001.858857163, 7, -148.7895199439, 0, 148.1499490799, 0, -14.02058509188, -0.2345807121445, 14.07103917093, -0.2334403991539, 0.1811769766177, 0.04658104160088, 0.04658114704225, 0.037557185843, -0.001543361480972, 0.03755719825485, 0.3291037177542, -0.001543360970922, -0.2773733377325, -0.001543360970922, 0.6371861549774, 0.6373848233775, 0.6371991755998, 0.6373611515168, 0.1892775394454, -0.1983185867497, -0.02442836598745, -298.611187082, -301.6411131121, -299.111187082, -298.6109078409, -301.6411841009, -298.610872251, -301.6410421233, 0.001286266800036, 0, 0.1902969800523, 0.005197902699123, -0.1968062110021, 0.005197902699123, 2.921857552629e-05, -0.0003320817002414, 0, 0.7823277761136, 0.7821679147958, -0.7826905633543, -0.7828320781963, -0.01523093186904, 0.3473366689948, 0, 0.3396506711778, 0.3473155910032, 0.3396969826405, 0.3473577469864
0.075, 0.0163732871688, 0.0002678183169138, 0, 0, 328.5255307429, 7.028990318078, -335.1444723188, 7.011785339617, 8537.545619807, 5062.07634361, 8630.492595447, 5048.954417768, 7, -151.4773459141, 0, 152.6875662735, 0, -14.74776243463, -0.3193293334842, 15.03426353665, -0.3185498009447, 0.2640810198326, 0.03626446522344, 0.03626453322362, 0.03704802549319, -0.001022134620802, 0.03704803291402, 0.3252973596583, -0.001022134416064, -0.2704710176551, -0.001022134416064, 0.9558569072498, 0.9562599880592, 0.9558832143413, 0.9562454387312, 0.1936833568821, -0.1914546488516, -0.03608667913861, -297.91674182, -300.9466811955, -298.41674182, -297.916541982, -300.9467595046, -297.9164769946, -300.9466028864, 0.001925996116084, 0, 0.1954041691536, 0.005733907531012, -0.1893568761954, 0.005733907531012, 3.814911000284e-05, -0.0003499347465098, 0, 0.7823443491269, 0.7821500612106, -0.7826947343405, -0.7828499307036, -0.01492561299926, 0.3472435842412, 0, 0.3398295321931, 0.3472296247456, 0.3396334655391, 0.3472575437367
0.1, 0.001900431956046, 0.0006855346702681, 0, 0, 338.4408071018, 7.0343899107, -333.6491566452, 7.012920799123, 8527.141461294, 5087.845391068, 8586.38123714, 5071.884414845, 7, -150.5031985849, 0, 151.4087288359, 0, -15.19686580127, -0.3197442611736, 14.97469358292, -0.3187736305546, 0.2563118478219, 0.02394769891025, 0.02394777994738, 0.03607704728542, -0.001243282787332, 0.03607705043668, 0.3166092316494, -0.001243282678733, -0.2642094867235, -0.001243282678733, 1.274567335521, 1.275190855551, 1.274592732847, 1.275180220876, 0.1916311782531, -0.1915543624195, -0.0392853146545, -297.2222442474, -300.2522498413, -297.7222442474, -297.2221251628, -300.2523298942, -297.2220569259, -300.2521697884, 0.002128874244875, 0, 0.1936283652842, 0.005861589516884, -0.1893144800993, 0.005861589516884, 3.529593262763e-05, -0.0003562012020954, 0, 0.7823612995269, 0.7821437945188, -0.7827036662009, -0.782856196923, -0.01453806803029, 0.3471917767205, 0, 0.339851957024, 0.3471747969585, 0.3397274916813, 0.3472087564824
0.125, -0.007609533869263, 0.0006325865814479, 0, 0, 338.7316134373, 6.193275175739, -333.692444556, 6.165390516385, 8516.572651694, 5083.807973511, 8556.37923909, 5061.405491973, 7, -148.2396793162, 0, 148.6604984211, 0, -15.21513432543, -0.281917734342, 14.98402950199, -0.2806585080201, 0.1364707861965, 0.01248376800495, 0.0124838770737, 0.03405710753641, -0.001745044759434, 0.0340571083448, 0.306532406531, -0.001745044718012, -0.2573033895282, -0.001745044718012, 1.593240428294, 1.59405883618, 1.593261891517, 1.594047684886, 0.1891984552887, -0.192078923439, -0.03651218981507, -296.5277347905, -299.5578195514, -297.0277347905, -296.5276870553, -299.5578964107, -296.5276251487, -299.557742692, 0.002047072863233, 0, 0.1911793123802, 0.005627752463707, -0.1899752464948, 0.005627752463707, 1.952711714963e-05, -0.0003534477419241, 0, 0.7823717718429, 0.7821465481205, -0.7827214743222, -0.7828534436043, -0.0141228900909, 0.3472072195565, 0, 0.3398747685656, 0.3471833871294, 0.3397915114376, 0.3472310519837
0.15, -0.01573340435583, 0.0004883519320487, 0, 0, 337.1396505736, 4.719914245422, -333.0976099755, 4.693740734205, 8503.010959368, 5054.174093261, 8548.150132269, 5028.247462031, 7, -146.2002728478, 0, 146.6758715851, 0, -15.14736524874, -0.2151121927908, 14.9603980794, -0.2139303504677, -0.01572605890896, 0.003517640658527, 0.003517760017086, 0.03184098171324, -0.002019558899721, 0.03184098177325, 0.2965017220962, -0.002019558895915, -0.2501560429274, -0.002019558895915, 1.911854865983, 1.912834383399, 1.911872211678, 1.912819309847, 0.1887058667174, -0.1906152334888, -0.02979338215903, -295.8332575924, -298.863407186, -296.3332575924, -295.8332648478, -298.863477277, -295.8332107012, -298.863337095, 0.00174595870196, 0, 0.1904341356983, 0.005132163535518, -0.1888534250379, 0.005132163535518, 1.278442326576e-06, -0.0003403454536483, 0, 0.782379484695, 0.7821596509211, -0.7827415817938, -0.7828403418284, -0.01372237031763, 0.3472740194063, 0, 0.3399039359706, 0.3472464378837, 0.3398092077182, 0.3473016009289
0.175, -0.02108607363446, 0.0003944076997727, 0, 0, 335.5710889539, 3.265485029348, -331.1917740069, 3.244224525447, 8496.911510088, 5020.919799023, 8538.340604296, 4992.069572073, 7, -145.0856039337, 0, 145.5472252256, 0, -15.07832839321, -0.1489208491196, 14.87665195833, -0.1479608901869, -0.1186497548801, -0.003147398741664, -0.003147273500727, 0.02968483018383, -0.002247292833721, 0.02968483022862, 0.2868797592206, -0.002247292830331, -0.2437386262758, -0.002247292830331, 2.230421823884, 2.231537368288, 2.230432890908, 2.231516022602, 0.1881257185073, -0.1892785450311, -0.02023063342682, -295.1388323341, -298.1690291431, -295.6388323341, -295.1388774867, -298.1690901721, -295.1388357684, -298.168968114, 0.001275556365586, 0, 0.1894174970093, 0.004468633668204, -0.1880159355289, 0.004468633668204, -1.658164830755e-05, -0.000318281281207, 0, 0.7823863948237, 0.782181715737, -0.7827599394672, -0.7828182782994, -0.01335163039967, 0.3473478833806, 0, 0.3399172039634, 0.3473171916498, 0.3398302429082, 0.3473785751114
0.2, -0.02369902668308, 0.0002744894588526, 0, 0, 333.2692374125, 1.933863655063, -329.5093874634, 1.918975494692, 8490.61043376, 5001.714927163, 8527.535394207, 4970.439352381, 7, -144.7016583427, 0, 145.1221856576, 0, -14.97566629518, -0.0882015400576, 14.80236474854, -0.0875290277316, -0.168448621219, -0.008685530081263, -0.008685402277516, 0.02762432694015, -0.002436215697536, 0.02762432725755, 0.2779725852507, -0.002436215669544, -0.2379564773913, -0.002436215669544, 2.548960155103, 2.550200994544, 2.54896374702, 2.550172125427, 0.1875454396303, -0.1880143968347, -0.009157685887326, -294.4444571807, -297.4746903938, -294.9444571807, -294.4445314048, -297.4747411153, -294.4445048111, -297.4746396723, 0.0007082557871131, 0, 0.1882962527836, 0.003713901222246, -0.1873418169319, 0.003713901222246, -3.287643202956e-05, -0.0002900752004566, 0, 0.782393037349, 0.7822099224483, -0.782775847628, -0.7827900728492, -0.01300812245197, 0.3473913249205, 0, 0.3399308708322, 0.3473580530325, 0.3398533766807, 0.3474245968085
0.225, -0.02437954234052, 0.0001486082416983, 0, 0, 330.7659424026, 0.7336754943178, -328.052740619, 0.7260053961127, 8482.737668704, 5000.452128628, 8518.011599043, 4967.85056818, 7, -144.7318761182, 0, 145.1698488011, 0, -14.86376350413, -0.03345399891414, 14.73769916728, -0.03310686097852, -0.1897260920119, -0.01408069045257, -0.01408056502021, 0.02576480930623, -0.002539503601936, 0.02576481008426, 0.2697810491984, -0.00253950352525, -0.2325572444782, -0.00253950352525, 2.86748595491, 2.868852902172, 2.867481791841, 2.868816173177, 0.1872084389078, -0.1865796728173, 0.002319187767614, -293.750122777, -296.7803878893, -294.250122777, -293.7502245422, -296.7804279183, -293.7502136101, -296.7803478603, 0.0001012360959182, 0, 0.1873763582049, 0.002930979880508, -0.1865352348571, 0.002930979880508, -4.607553086308e-05, -0.0002579642405659, 0, 0.7824004476716, 0.782242033967, -0.7827887978731, -0.7827579624481, -0.01268757369418, 0.3473954223217, 0, 0.3399478535213, 0.3473607398107, 0.339873771407, 0.3474301048328
