Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,ModeTran,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, -2.056123799615e-05, 0, 0, -10.14097686311, 0.7334524563246, 8.299337205796, 0.6760016701841, 8444.052084621, 5212.550118883, 8915.126811926, 4742.640097044, 7, -111.2574082768, 0, 110.5279989285, 0, 0.4558680883921, -0.03353336098114, -0.3717525398574, -0.0309539733625, -0, 0.05447853718346, 0.05448321542157, 0.03661070020151, -0.03660372444036, 0.03661071675097, 0.3368005077736, -0.03660370789122, -0.2635795521886, -0.03660370789122, 0.0001480645308697, 0.0001513422650599, 0.0001487744849574, 0.0001513422650599, 0.2, -0.2, 0, -300, -303.0299848316, -300.5, -299.9996619801, -303.030085307, -299.9996629309, -303.0298843562, 0, 0, 0.1996805585704, 0.007356955057312, -0.1997488424756, 0.007356955057312, 0, -0.0003538814230082, 0, 0.7822730032412, 0.7821459524431, -0.78272667727, -0.7828537152891, -0.01547170976626, 0.3474093012156, 0, 0.3400280569601, 0.346909397039, 0.3390280576163, 0.3479092053921
0.025, 0.02470594823913, 0.0003245053734594, 0, 0, 259.4848033898, -10.60709292183, -228.9738924836, -10.89112390449, 8671.727120828, 4971.684913783, 8654.210557258, 4994.621363327, 7, -136.9351944278, 0, 138.6219451604, 0, -11.64410851058, 0.4843859812375, 10.27632102724, 0.497489803232, 0.2268841283557, 0.0528048913641, 0.05280477860044, 0.03797923195098, 0.001786638996061, 0.03797924808043, 0.3288132299234, 0.001786638237294, -0.2785771837599, 0.001786638237294, 0.3186097295247, 0.3186808628942, 0.3186235973067, 0.3186454813135, 0.1992788734628, -0.1918926378826, -0.01145323135938, -299.3055878963, -302.3355484506, -299.8055878963, -299.305273983, -302.3356056909, -299.3052358258, -302.3354912103, 0.0005732623808909, 0, 0.1995498921824, 0.004191217795922, -0.1910620540354, 0.004191217795922, 1.947854489741e-05, -0.000319360843116, 0, 0.782310815799, 0.7821806366829, -0.7826991038964, -0.7828193583691, -0.01541363199468, 0.3473975463448, 0, 0.3395439253041, 0.347421946823, 0.3395827721557, 0.3473731458666
0.05, 0.03668649610456, 0.0003566619269304, 0, 0, 311.0155320588, 7.119464248859, -315.3009293981, 7.053746611064, 8634.936610381, 5018.438549074, 8602.226344028, 4991.549764306, 7, -149.1368105604, 0, 148.0634658158, 0, -13.95559479061, -0.3240456146519, 14.15143479874, -0.321062580676, 0.1699065932606, 0.04664392676041, 0.0466440691265, 0.0368174408081, -0.002094506686545, 0.03681745300835, 0.3279730709353, -0.002094505992482, -0.2774184210398, -0.002094505992482, 0.6371850178393, 0.6373845992119, 0.6371993698221, 0.6373602993127, 0.1878095360216, -0.1996451622084, -0.02619233113974, -298.6111877962, -301.641113216, -299.1111877962, -298.6109084068, -301.6411858207, -298.6108727458, -301.6410406113, 0.001422997073121, 0, 0.1889662458878, 0.00531622223611, -0.1979957252414, 0.00531622223611, 2.282643751755e-05, -0.0003386596583243, 0, 0.782327109211, 0.7821613364505, -0.7826931575387, -0.7828386557671, -0.01522305390243, 0.3473510760303, 0, 0.3396222302406, 0.3473224709401, 0.3396934088909, 0.3473796811204
0.075, 0.01370442729361, 0.0002591339284868, 0, 0, 328.6565554624, 7.387675424338, -336.2391648128, 7.360455494959, 8515.860379971, 5048.987196699, 8673.569602088, 5032.755612908, 7, -151.1974189426, 0, 152.9692858586, 0, -14.75610118936, -0.3356322244593, 15.0784431794, -0.3343994939472, 0.2821445812852, 0.03561629647283, 0.03561637811385, 0.03569610080407, -0.001264361940775, 0.0356961077008, 0.3244862851301, -0.001264361696491, -0.2689064922674, -0.001264361696491, 0.9558555988538, 0.956263598522, 0.95588549147, 0.956247991373, 0.1953581152721, -0.189460520529, -0.03722030390838, -297.9167351944, -300.9466747659, -298.4167351944, -297.9165430185, -300.9467533954, -297.9164715793, -300.9465961363, 0.002060298808488, 0, 0.1972173942448, 0.005757368190763, -0.1872325093838, 0.005757368190763, 2.503799849445e-05, -0.0003595283558295, 0, 0.7823380775792, 0.7821404675031, -0.7827052374281, -0.7828595242148, -0.0148962269883, 0.3472747416074, 0, 0.3398756975398, 0.347257473965, 0.3395418569959, 0.3472920092497
0.1, 0.001551790513789, 0.0009818325898849, 0, 0, 343.1856666708, 7.176113963907, -330.5792462966, 7.145763173254, 8555.350161938, 5081.477779357, 8587.018065158, 5060.099553602, 7, -150.6481784212, 0, 151.4532543306, 0, -15.40652133988, -0.3261790936162, 14.83667914072, -0.3248089634944, 0.2465872900749, 0.02150173204352, 0.02150183584534, 0.03403354973318, -0.001665260274858, 0.03403355212969, 0.3123268801723, -0.001665260157596, -0.2638793659805, -0.001665260157596, 1.274571778093, 1.275202988033, 1.274597095314, 1.275190417774, 0.1910708763985, -0.1914869355074, -0.03870173762465, -297.2222184267, -300.2522305907, -297.7222184267, -297.2221160303, -300.2523095043, -297.2220462486, -300.252151677, 0.002207522859729, 0, 0.1931617882446, 0.005778169239125, -0.1891798408907, 0.005778169239125, 1.338912762774e-05, -0.0003667281499767, 0, 0.7823560215488, 0.7821332675404, -0.7827168082079, -0.7828667238403, -0.01446686471852, 0.347211087797, 0, 0.3397920788181, 0.3471883450037, 0.3397261457631, 0.3472338305904
0.125, -0.005042769657669, 0.0006206424467365, 0, 0, 338.931077448, 6.237712026412, -334.307361843, 6.203262954369, 8528.571577761, 5089.714605521, 8558.082389385, 5062.541800137, 7, -148.4696651243, 0, 148.5140201218, 0, -15.22255796948, -0.2839227773306, 15.01133686821, -0.282367899823, 0.1195746537303, 0.007362883366856, 0.00736300662224, 0.03124392581235, -0.002116629839123, 0.03124392607033, 0.3012361612819, -0.002116629821646, -0.2559911566645, -0.002116629821646, 1.593251735621, 1.594082347407, 1.593273166095, 1.594069044381, 0.187645087136, -0.1927521982653, -0.03605317107115, -296.5276797645, -299.5577818272, -297.0276797645, -296.5276645646, -299.5578569598, -296.5276030523, -299.5577066945, 0.002164946728562, 0, 0.1897718344826, 0.005501323200781, -0.1905538583201, 0.005501323200781, -8.565284511648e-06, -0.0003661740457617, 0, 0.7823654851718, 0.7821338218133, -0.7827386629423, -0.7828661699048, -0.01399182064658, 0.3471997269911, 0, 0.3398494059189, 0.3471708197514, 0.3397879226089, 0.3472286342309
0.15, -0.01443628688369, 0.0004692878251848, 0, 0, 337.0796671519, 4.616715720212, -333.3654704214, 4.587884250587, 8491.307970222, 5070.439951763, 8560.930982629, 5041.642009001, 7, -146.0185502917, 0, 146.7130400858, 0, -15.1460089446, -0.2103908140511, 14.970863904, -0.2090888490388, 0.0003999310174402, -0.004392839815568, -0.004392718960423, 0.02862711014335, -0.002243220152176, 0.02862711022749, 0.2902520964633, -0.002243220145583, -0.2473700701837, -0.002243220145583, 1.911872916754, 1.912869307278, 1.911892691134, 1.912852280813, 0.1889356792728, -0.1891908863366, -0.02998053234341, -295.8331712533, -298.8633497607, -296.3331712533, -295.8332313536, -298.8634180223, -295.8331720909, -298.863281499, 0.001911373633186, 0, 0.1908697616769, 0.004998217007459, -0.1872980472657, 0.004998217007459, -2.866143918965e-05, -0.0003541748259956, 0, 0.7823738925164, 0.7821458215969, -0.7827616207503, -0.7828541712489, -0.01352409083954, 0.3472424657331, 0, 0.3399290254711, 0.3472118296238, 0.339782086412, 0.3472731018424
0.175, -0.01863148306092, 0.0005086761444175, 0, 0, 336.791361632, 3.243627710337, -329.2589721295, 3.220632414507, 8495.183681165, 5042.097382701, 8529.863449595, 5010.404423499, 7, -144.9406770411, 0, 145.3677526657, 0, -15.13334513484, -0.1479123721661, 14.79079344978, -0.1468744003797, -0.1113824816784, -0.01307058776238, -0.01307046472443, 0.02609104677521, -0.002468727956886, 0.02609104745412, 0.2787000280663, -0.00246872789265, -0.2407570327356, -0.00246872789265, 2.230446578023, 2.231580448038, 2.230459454247, 2.231557315473, 0.1873918689645, -0.1885458596919, -0.02093889284135, -295.1387221651, -298.1689570501, -295.6387221651, -295.1388326221, -298.1690162798, -295.1387862477, -298.1688978203, 0.001481531509351, 0, 0.1889373796173, 0.004336886778245, -0.1871188753687, 0.004336886778245, -4.844105387237e-05, -0.0003330874123073, 0, 0.7823837387903, 0.7821669096197, -0.7827798554982, -0.7828330844443, -0.01309367786209, 0.3473058488199, 0, 0.3399211196676, 0.3472721329059, 0.3398483540184, 0.347339564734
0.2, -0.0199784476854, 0.00029964536112, 0, 0, 332.649665927, 1.983249974626, -328.3159160082, 1.966848561426, 8482.181759691, 5019.744919415, 8515.106941912, 4985.625541495, 7, -144.489668869, 0, 144.7665341608, 0, -14.94884056081, -0.09045041529626, 14.75020988799, -0.08970973845899, -0.1665309123211, -0.01932382641353, -0.01932370467296, 0.02359245116276, -0.002657734299807, 0.02359245250455, 0.2689247278681, -0.002657734148654, -0.2344929285286, -0.002657734148654, 2.548987655645, 2.550246323381, 2.548993657784, 2.550216218683, 0.1863429026258, -0.1875868108585, -0.01115116934328, -294.4443366164, -297.4746126586, -294.9443366164, -294.4444811981, -297.4746620944, -294.4444489647, -297.4745632229, 0.0009957164449225, 0, 0.1874296730232, 0.003619756368012, -0.1866698591036, 0.003619756368012, -6.587499354235e-05, -0.0003067989000498, 0, 0.7823924423374, 0.7821931986965, -0.7827952389802, -0.7828067964966, -0.01270828860956, 0.3473559884977, 0, 0.3399490601786, 0.3473196912872, 0.3398799046771, 0.3473922857082
0.225, -0.02082433576145, 0.0001652611498752, 0, 0, 329.618692802, 0.791871643425, -326.585079836, 0.7832746956066, 8467.714943768, 5008.363585544, 8507.750321365, 4973.274973116, 7, -144.3357978673, 0, 144.7947769249, 0, -14.81403226096, -0.0361082021808, 14.67300310296, -0.03571923175009, -0.1825605984618, -0.02413773459123, -0.02413761910337, 0.02148154929075, -0.002733233060945, 0.02148155119702, 0.2603467677443, -0.002733232818401, -0.2288029969578, -0.002733232818401, 2.867511945263, 2.86889440019, 2.867511829037, 2.868857337314, 0.1864588290799, -0.1856199347882, -0.001354511928097, -293.7500058046, -296.7803137771, -294.2500058046, -293.750176175, -296.7803533963, -293.7501560591, -296.7802741578, 0.000480749927911, 0, 0.1870495800344, 0.002900981077578, -0.1852353010905, 0.002900981077578, -7.775733445221e-05, -0.0002762086427815, 0, 0.7824025393513, 0.7822237894639, -0.7828060098956, -0.7827762067494, -0.01236718194807, 0.3473812351806, 0, 0.3399800753941, 0.3473439068696, 0.3398956934005, 0.3474185634917
