Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,ModeTran,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, -2.056123799619e-05, 0, 0, -10.14097686311, 0.7334524563246, 8.299337205796, 0.6760016701841, 8444.052084621, 5212.550118883, 8915.126811926, 4742.640097044, 7, -111.2574082771, 0, 110.5279989282, 0, 0.4558680883921, -0.03353336098114, -0.3717525398574, -0.0309539733625, -0, 0.05447853718346, 0.05448321542157, 0.03661070020151, -0.03660372444036, 0.03661071675097, 0.3368005077736, -0.03660370789122, -0.2635795521886, -0.03660370789122, 0.0001480645308697, 0.0001513422650599, 0.0001487744849574, 0.0001513422650599, 0.2, -0.2, 0, -300, -303.0299848316, -300.5, -299.9996619801, -303.030085307, -299.9996629309, -303.0298843562, 0, 0, 0.1996805585704, 0.007356955057312, -0.1997488424756, 0.007356955057312, 0, -0.0003538814230082, 0, 0.7822730032412, 0.7821459524431, -0.78272667727, -0.7828537152891, -0.01547170976626, 0.3474093012156, 0, 0.3400280569601, 0.346909397039, 0.3390280576163, 0.3479092053921
0.025, 0.02207662358285, 0.0002759529786898, 0, 0, 256.2571128459, -8.761883788958, -231.0977569912, -8.707823067513, 8635.264774924, 5023.789861474, 8669.402784417, 4924.39090476, 7, -136.9869376557, 0, 138.6218208619, 0, -11.50249709885, 0.4000765120216, 10.37043153231, 0.397762373732, 0.205221438592, 0.05263264975096, 0.0526332836173, 0.03914581645711, -0.007742700123764, 0.03914583297372, 0.3313810732555, -0.007742696856847, -0.277047071648, -0.007742696856847, 0.3186113998998, 0.3186752536985, 0.318622541025, 0.3186542691418, 0.1992992129105, -0.1920239234523, -0.009294065356629, -299.3055862566, -302.3355444605, -299.8055862566, -299.3052701149, -302.3356139108, -299.3052381631, -302.3354750103, 0.0003888436935154, 0, 0.1993844686806, 0.005085248315071, -0.1913799823041, 0.005085248315071, 3.061008857492e-05, -0.0003211272457417, 0, 0.7823122126645, 0.7821788625274, -0.7826958642274, -0.7828211170189, -0.01541432797129, 0.3474168257999, 0, 0.3396214157929, 0.3473110822299, 0.3395504926182, 0.3475225693699
0.05, 0.03102264107894, -0.0001427581133594, 0, 0, 309.1877915785, 1.948985703251, -316.8306676718, 1.951978208644, 8624.638911844, 5023.765953989, 8597.849544752, 5009.884280964, 7, -148.7795001221, 0, 148.1783111103, 0, -13.87461757782, -0.08870182963351, 14.22059774717, -0.08884144681196, 0.1838219332454, 0.04661927288451, 0.0466193529124, 0.04125219442768, -0.001081315396776, 0.04125220808303, 0.33146664775, -0.001081315038836, -0.2750562533878, -0.001081315038836, 0.6371869214042, 0.6373818348511, 0.6371984457675, 0.637363328854, 0.1892559748212, -0.1983394504535, -0.02488443153466, -298.6111874106, -301.6411142855, -299.1111874106, -298.6109062776, -301.6411874006, -298.610873978, -301.6410411703, 0.001119011699211, 0, 0.1901060853704, 0.005353595731076, -0.1969959652137, 0.005353595731076, 6.684944697591e-05, -0.0003173635701291, 0, 0.7823446685145, 0.7821826328747, -0.7826735060237, -0.7828173600149, -0.01523198459299, 0.3473259039435, 0, 0.3396440206998, 0.3473111362063, 0.3397027886434, 0.3473406716808
0.075, 0.01266870379545, -6.06030878467e-05, 0, 0, 325.6510944622, 5.714111994506, -338.6183793719, 5.723092227864, 8538.86025059, 5065.495927919, 8640.971173039, 5072.553544915, 7, -151.4285200514, 0, 152.8976609647, 0, -14.61852115445, -0.2595905628185, 15.1890088765, -0.2599905304871, 0.2737019958521, 0.03671828007139, 0.03671823916171, 0.04328978968462, 0.0005497542659077, 0.04328979857407, 0.3294975185215, 0.0005497541530173, -0.2659416251587, 0.0005497541530173, 0.9558569247805, 0.9562545062119, 0.9558815726219, 0.9562441859803, 0.1942046583781, -0.1908785231514, -0.0372955558221, -297.9167463488, -300.9466879114, -298.4167463488, -297.9165420214, -300.9467692317, -297.9164805202, -300.9466065912, 0.001680454485901, 0, 0.1956747795884, 0.005954387380578, -0.1890269539968, 0.005954387380578, 9.954697553587e-05, -0.0003235029855607, 0, 0.7823702450639, 0.7821764927529, -0.7826693476495, -0.782823498724, -0.0149303022262, 0.3472148409704, 0, 0.3398265928013, 0.3472223490736, 0.3396112966166, 0.3472073328672
0.1, -0.003643186681165, 0.0005750193579775, 0, 0, 337.4092699646, 6.976172394521, -335.5163941344, 6.977826604503, 8534.948029402, 5093.701201294, 8600.228854928, 5095.06704371, 7, -150.5138730589, 0, 151.6446550472, 0, -15.14967493462, -0.3171021316753, 15.05700302241, -0.317172058535, 0.2494196658357, 0.02537001128881, 0.02537000323689, 0.0438650994028, 0.0001063925139366, 0.04386510370297, 0.3217407964575, 0.0001063925035068, -0.2585382845201, 0.0001063925035068, 1.274565382168, 1.275179427305, 1.274587427527, 1.275171904508, 0.1919872757427, -0.1911159808775, -0.03940984450815, -297.22225904, -300.2522661674, -297.72225904, -297.2221280189, -300.2523500596, -297.2220662865, -300.2521822752, 0.00176668072145, 0, 0.1936122797993, 0.006142704907063, -0.1892341244908, 0.006142704907063, 0.0001069477036827, -0.0003245526840464, 0, 0.7823889877994, 0.7821754428175, -0.7826768119245, -0.7828245481856, -0.01454822901959, 0.3471608848451, 0, 0.3398351780048, 0.347162337869, 0.3396981823649, 0.3471594318213
0.125, -0.01457570645709, 0.0006156911423671, 0, 0, 338.7171808478, 6.567094558087, -334.8666982484, 6.551815013125, 8531.784374072, 5082.746625665, 8571.799081502, 5070.885934068, 7, -148.3177432579, 0, 148.8252018166, 0, -15.21272892116, -0.298945701339, 15.03502243622, -0.298253951134, 0.05502299122617, 0.01523900884452, 0.01523907893141, 0.04251266395563, -0.0009238904147529, 0.04251266545931, 0.3118909508495, -0.0009238903820744, -0.2510587308355, -0.0009238903820744, 1.593235346083, 1.594040340896, 1.59325108457, 1.594030668096, 0.1891340440398, -0.1920132952613, -0.03388037793829, -296.527764298, -299.5578472624, -297.027764298, -296.5276939604, -299.5579274438, -296.5276435742, -299.557767081, 0.001526974805294, 0, 0.190578782991, 0.005870997786089, -0.1904188758706, 0.005870997786089, 9.035891729794e-05, -0.0003199618105031, 0, 0.7823953468881, 0.7821800339797, -0.7826992876085, -0.7828199576007, -0.01413452423261, 0.3471982631892, 0, 0.3398422321324, 0.3471856454322, 0.3397588678713, 0.3472108809462
0.15, -0.02373965057836, 0.0004779446352504, 0, 0, 337.5182110689, 4.966343316144, -334.2221636849, 4.945220104357, 8520.62787003, 5041.003798443, 8566.795639061, 5020.966247374, 7, -146.2625977179, 0, 146.7940958261, 0, -15.16229061348, -0.2263564156933, 15.00874389555, -0.2254020303912, -0.09801214610211, 0.007296527057707, 0.00729664166907, 0.0405035585477, -0.001560828110993, 0.04050355887614, 0.3016134465483, -0.001560828098337, -0.243316940236, -0.001560828098337, 1.911846977103, 1.912810979552, 1.911856332786, 1.912795244816, 0.1886065903294, -0.1904693145592, -0.0233787124643, -295.8332991447, -298.8634440911, -296.3332991447, -295.8332751159, -298.8635157081, -295.8332375429, -298.8633724741, 0.00103720039889, 0, 0.1896060368054, 0.005243897450931, -0.1894005103226, 0.005243897450931, 6.554274639454e-05, -0.0003058409899858, 0, 0.7823958676447, 0.7821941554424, -0.7827279313228, -0.7828058374223, -0.01372100610345, 0.3472957764181, 0, 0.3398662954173, 0.3472744598745, 0.3397697114576, 0.3473170929618
0.175, -0.0295399036588, 0.0003806033774439, 0, 0, 336.2795613559, 3.256372380934, -332.2229493406, 3.23730609905, 8513.905335117, 5001.52881815, 8557.020126806, 4975.994301241, 7, -145.0904136411, 0, 145.6061973368, 0, -15.10812370064, -0.148512616335, 14.92077737539, -0.1476514793045, -0.1678724878058, 0.0005288619891873, 0.0005290020214301, 0.03834834652548, -0.001989015091133, 0.03834834652712, 0.2911588159092, -0.001989015091048, -0.2360505111883, -0.001989015091048, 2.230413891774, 2.231513960184, 2.230414556546, 2.231489376514, 0.1880653229555, -0.1888639435529, -0.009462531277163, -295.1388742857, -298.1690683484, -295.6388742857, -295.1388864337, -298.1691283343, -295.1388665867, -298.1690083625, 0.00035848979881, 0, 0.1884217227699, 0.004392254025553, -0.1885027118433, 0.004392254025553, 3.841605797966e-05, -0.000282655366418, 0, 0.7823946535525, 0.7822173418628, -0.7827569832552, -0.7827826525957, -0.01331197407072, 0.3473856134935, 0, 0.3398809192978, 0.3473584491138, 0.3397906905043, 0.3474127778731
0.2, -0.03193504076435, 0.0002518921512591, 0, 0, 334.1554567776, 1.691440735169, -330.4900451811, 1.678366901924, 8505.503777904, 4988.501265309, 8543.69728547, 4959.038383786, 7, -144.6488502221, 0, 145.1120934717, 0, -15.01367885637, -0.07714523278837, 14.84449366628, -0.07655432930059, -0.1970580155589, -0.006632452749378, -0.006632298690584, 0.03617035775953, -0.002295015667149, 0.03617035800187, 0.2807436154821, -0.002295015651773, -0.228953321743, -0.002295015651773, 2.548956297333, 2.550183569942, 2.548946977664, 2.550148692642, 0.1874271015558, -0.1872717093607, 0.006148889512599, -294.4444832156, -297.4747225844, -294.9444832156, -294.4445321734, -297.47476937, -294.4445329013, -297.4746757989, -0.0004205259840781, 0, 0.1870396177351, 0.003425707198253, -0.1877182300283, 0.003425707198253, 1.140543455731e-05, -0.0002534856131556, 0, 0.78239321448, 0.7822465123605, -0.782785118816, -0.7827534835868, -0.01290033894018, 0.3474175107329, 0, 0.3398991030875, 0.3473861672419, 0.3398192075464, 0.3474488542239
0.225, -0.03192462724025, 0.0001116832072179, 0, 0, 331.6529063168, 0.2760049680891, -328.9951740499, 0.270937249031, 8495.302601181, 5001.762229742, 8531.909655199, 4970.534972279, 7, -144.6276758556, 0, 145.1066225778, 0, -14.90206469087, -0.01258453910429, 14.77835012265, -0.0123544049274, -0.2113407614056, -0.01486500149572, -0.01486484634706, 0.03412042651435, -0.002432452066587, 0.03412042766269, 0.2704376280873, -0.002432451984724, -0.221721052068, -0.002432451984724, 2.867489780998, 2.868846266424, 2.867470346031, 2.868800738026, 0.1869874618168, -0.1854002300163, 0.02203918012115, -293.750119366, -296.7804051518, -294.250119366, -293.7502113981, -296.7804382899, -293.7502328831, -296.7803720137, -0.00122815100279, 0, 0.1858299729983, 0.002426417161238, -0.1866854510466, 0.002426417161238, -1.323589179451e-05, -0.0002209810196448, 0, 0.782392912536, 0.7822790175735, -0.7828113409761, -0.7827209796128, -0.01248624311136, 0.3473911728763, 0, 0.3399211015549, 0.3473579523896, 0.339844456122, 0.3474243933629
