fks,rks,id_fcs,id_rcs,dts,id_pfs
70,137,13,13,1.0,2
44,102,4,2,0.5,0
44,128,7,10,0.3,0
70,75,2,6,0.7,2
60,119,6,4,0.7,2
34,84,11,7,0.1,1
54,155,0,0,0.4,0
80,102,9,10,0.8,1
75,137,1,7,0.5,2
49,75,10,4,0.9,0
39,146,5,12,0.8,0
65,111,10,1,0.2,2
65,146,8,2,0.1,1
39,93,3,12,0.6,0
49,119,12,5,0.9,1
75,84,3,9,0.3,2
75,119,9,0,0.7,0
49,84,1,11,0.3,1
39,155,11,3,0.4,2
65,93,5,7,1.0,1
60,146,2,9,0.9,0
34,111,7,6,0.4,2
54,137,4,13,0.1,2
80,84,13,3,0.6,0
80,155,5,5,0.2,1
54,102,13,9,0.7,2
34,128,1,1,1.0,1
60,93,7,12,0.5,0
70,128,11,11,0.3,1
44,75,6,0,0.9,2
49,137,9,8,0.6,1
70,111,0,5,0.2,0
70,128,5,3,0.8,0
44,75,10,13,0.4,1
44,137,1,6,0.1,2
65,111,10,9,0.7,1
60,155,12,7,0.7,0
34,102,3,3,0.2,1
54,119,8,11,0.5,2
80,93,3,0,1.0,1
80,146,7,4,0.3,1
54,111,2,8,0.9,2
34,128,13,1,0.6,1
60,75,4,11,0.1,0
65,119,0,12,0.2,0
39,84,9,1,0.8,2
49,146,6,9,0.9,2
75,93,11,5,0.5,0
75,155,2,10,0.6,2
49,102,7,0,0.1,0
39,119,4,7,0.4,0
65,84,13,3,0.8,2
65,137,8,6,1.0,2
39,84,0,10,0.5,1
49,146,12,2,0.3,0
80,111,6,13,0.7,1
80,128,11,8,0.2,1
54,93,6,5,0.6,0
34,155,9,12,0.9,0
60,102,0,2,0.3,2
70,137,4,1,0.5,1
44,111,12,11,1.0,0
44,128,2,4,0.8,1
70,75,8,8,0.2,2
70,119,3,5,0.4,1
44,93,8,8,0.8,0
44,155,3,2,0.7,1
70,102,12,13,0.1,2
60,137,10,11,0.2,2
34,102,1,1,0.7,0
54,128,10,8,1.0,0
80,75,5,4,0.5,2
75,146,11,0,0.9,2
49,93,6,10,0.4,1
39,119,9,4,0.1,0
65,84,0,7,0.6,1
65,137,4,10,0.8,2
39,75,13,6,0.2,1
49,146,2,13,0.5,0
75,111,7,2,0.9,2
75,146,6,8,0.1,1
49,111,11,4,0.6,2
39,137,0,11,0.8,1
65,84,9,1,0.4,0
60,119,13,1,0.4,1
34,84,5,12,1.0,2
54,155,7,6,0.7,1
80,102,1,9,0.3,0
80,128,8,13,0.6,0
54,75,2,3,0.2,2
34,137,12,9,0.3,2
60,111,3,6,0.9,0
65,155,1,3,1.0,0
39,102,9,7,0.5,1
44,128,5,0,0.2,2
70,93,11,11,0.8,1
75,155,9,9,0.5,0
44,102,0,5,1.0,2
44,119,11,12,0.7,2
70,84,6,2,0.3,0
60,128,2,1,0.1,1
34,75,7,11,0.6,2
54,137,4,5,0.8,1
80,102,13,8,0.4,0
80,119,3,11,1.0,0
54,84,12,0,0.5,1
34,146,3,7,0.2,2
60,93,8,3,0.8,1
65,146,10,6,0.6,0
39,111,5,9,0.1,1
49,137,10,3,0.3,2
75,75,1,13,0.9,1
75,137,12,4,0.3,1
49,75,4,8,0.7,0
39,146,8,1,1.0,1
65,111,2,12,0.4,2
60,155,5,12,0.4,1
39,93,10,2,0.9,0
49,119,1,9,0.6,0
75,84,9,5,0.1,2
80,146,0,3,0.8,2
54,111,8,13,0.2,1
34,128,6,6,0.5,0
60,75,12,10,1.0,1
70,128,7,7,0.9,2
44,93,2,4,0.3,0
44,155,13,10,0.2,0
70,102,4,0,0.6,2
70,128,7,12,0.1,1
44,75,1,1,0.7,2
44,146,13,7,0.8,1
70,111,5,4,0.4,0
60,146,0,5,0.5,1
34,93,9,9,1.0,2
54,119,6,2,0.7,1
80,84,11,12,0.2,0
75,137,5,10,0.6,0
49,102,11,6,0.1,1
39,128,1,13,0.4,2
60,75,9,2,0.9,1
65,119,12,0,0.9,0
39,93,4,10,0.5,2
49,155,8,4,0.2,2
75,102,3,7,0.8,0
75,155,10,2,0.4,2
49,102,5,12,0.8,0
39,128,10,5,0.6,0
65,93,1,9,0.1,2
60,128,3,8,0.3,1
34,75,12,5,0.7,0
54,137,3,11,1.0,1
80,111,8,0,0.4,2
80,119,2,3,0.9,2
54,84,7,7,0.3,0
34,155,4,0,0.2,0
60,93,13,11,0.6,1
70,146,9,13,0.8,2
44,111,0,3,0.2,1
49,137,11,9,0.5,0
75,84,6,6,1.0,1
70,146,1,1,0.3,2
44,111,10,11,0.7,0
39,137,5,4,1.0,1
65,75,11,8,0.5,2
60,119,8,9,0.4,1
34,84,2,5,0.8,0
54,155,12,12,0.7,1
80,93,4,1,0.1,2
80,128,13,6,0.8,2
54,75,4,9,0.2,0
34,137,7,3,0.5,0
60,102,2,13,1.0,2
65,155,6,10,0.9,2
39,102,12,0,0.3,1
49,119,0,7,0.1,0
75,84,8,3,0.6,1
75,128,4,12,0.4,1
49,93,13,2,1.0,2
39,155,2,8,0.7,1
65,102,7,5,0.3,0
65,146,11,4,0.1,0
39,111,6,8,0.6,2
54,128,9,1,0.9,2
