Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, -5.90899991989, 596.037231445,          6000, 155.774993896, -15.1440792084, 21.6290950775
        0.025,             0,             0, -4.98999977112, -5.90899276733, 594.982971191,          6000, 155.430343628, -15.1440839767,  21.584154129
         0.05,             0,             0, -4.98000001907, -5.90898561478, 593.928710938,          6000, 155.085708618, -15.1440896988, 21.5392074585
        0.075,             0,             0, -4.96999979019, -5.90897798538, 592.874389648,          6000,  154.74105835, -15.1440954208, 21.4942512512
          0.1,             0,             0, -4.96000003815, -5.90897083282, 591.820129395,          6000, 154.396408081, -15.1441001892, 21.4492874146
        0.125,             0,             0, -4.94999980927, -5.90896368027, 590.765869141,          6000, 154.051757812, -15.1441059113, 21.4043178558
         0.15,             0,             0, -4.94000005722, -5.90895652771, 589.711547852,          6000, 153.707092285, -15.1441106796, 21.3593387604
        0.175,             0,             0, -4.92999982834, -5.90894937515, 588.657287598,          6000, 153.362442017, -15.1441164017, 21.3143539429
          0.2,             0,             0, -4.92000007629, -5.9089422226, 587.603027344,          6000, 153.017791748,  -15.14412117, 21.2693595886
        0.225,             0,             0, -4.90999984741, -5.90893507004,  586.54876709,          6000, 152.673141479, -15.1441259384,  21.224357605
         0.25,             0,             0, -4.90000009537, -5.90892839432, 585.494506836,          6000, 152.328491211, -15.1441316605, 21.1793498993
        0.275,             0,             0, -4.88999986649, -5.90892124176, 584.440246582,          6000, 151.983840942, -15.1441364288, 21.1343326569
          0.3,             0,             0, -4.88000011444, -5.9089140892, 583.385925293,          6000, 151.639175415, -15.1441421509, 21.0893096924
        0.325,             0,             0, -4.86999988556, -5.90890693665, 582.331665039,          6000, 151.294525146, -15.1441469193, 21.0442771912
         0.35,             0,             0, -4.86000013351, -5.90890026093, 581.277404785,          6000, 150.949874878, -15.1441516876, 20.9992389679
        0.375,             0,             0, -4.84999990463, -5.90889310837, 580.223144531,          6000, 150.605209351, -15.1441574097, 20.9541912079
          0.4,             0,             0, -4.84000015259, -5.90888643265, 579.168884277,          6000, 150.260559082, -15.144162178, 20.9091377258
        0.425,             0,             0, -4.82999992371, -5.90887928009, 578.114624023,          6000, 149.915908813, -15.1441669464,  20.864074707
         0.45,             0,             0, -4.82000017166, -5.90887260437,  577.06036377,          6000, 149.571243286, -15.1441726685, 20.8190059662
        0.475,             0,             0, -4.80999994278, -5.90886545181, 576.006103516,          6000, 149.226593018, -15.1441774368, 20.7739295959
          0.5,             0,             0, -4.80000019073, -5.90885877609, 574.951843262,          6000,  148.88192749, -15.1441822052, 20.7288455963
        0.525,             0,             0, -4.78999996185, -5.90885210037, 573.897583008,          6000, 148.537277222, -15.1441869736, 20.6837539673
         0.55,             0,             0, -4.78000020981, -5.90884494781, 572.843322754,          6000, 148.192611694, -15.1441926956, 20.6386547089
        0.575,             0,             0, -4.76999998093, -5.90883827209,   571.7890625,          6000, 147.847961426, -15.144197464,  20.593547821
          0.6,             0,             0, -4.76000022888, -5.90883159637, 570.734802246,          6000, 147.503295898, -15.1442022324, 20.5484352112
        0.625,             0,             0,         -4.75, -5.90882492065, 569.680541992,          6000, 147.158630371, -15.1442070007, 20.5033130646
         0.65,             0,             0, -4.73999977112, -5.90881824493, 568.626281738,          6000, 146.813980103, -15.1442117691, 20.4581851959
        0.675,             0,             0, -4.73000001907, -5.90881156921, 567.572021484,          6000, 146.469314575, -15.1442174911, 20.4130496979
          0.7,             0,             0, -4.71999979019, -5.90880489349, 566.517822266,          6000, 146.124649048, -15.1442222595, 20.3679065704
        0.725,             0,             0, -4.71000003815, -5.90879821777, 565.463562012,          6000, 145.779983521, -15.1442270279, 20.3227558136
         0.75,             0,             0, -4.69999980927, -5.90879154205, 564.409301758,          6000, 145.435333252, -15.1442317963, 20.2775974274
        0.775,             0,             0, -4.69000005722, -5.90878486633, 563.355041504,          6000, 145.090667725, -15.1442365646, 20.2324333191
          0.8,             0,             0, -4.67999982834, -5.90877819061,  562.30078125,          6000, 144.746002197, -15.144241333, 20.1872596741
        0.825,             0,             0, -4.67000007629, -5.90877199173, 561.246520996,          6000,  144.40133667, -15.1442461014,  20.142080307
         0.85,             0,             0, -4.65999984741, -5.90876531601, 560.192321777,          6000, 144.056671143, -15.1442508698, 20.0968933105
        0.875,             0,             0, -4.65000009537, -5.90875864029, 559.138061523,          6000, 143.712005615, -15.1442556381, 20.0516986847
