Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.00110153900459, 0.20111772418, 0.148498013616, 61.9425926208, -12.7095575333, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.0015267705312, 0.200687691569, 0.147859841585, 57.2516403198, -16.7962875366, 5092.67675781, -4.31947088242, -0.337513208389
        0.002, -0.00192341895308, 0.20050893724, 0.147635951638,  50.922832489, -20.8271026611, 5092.58642578, -4.2828412056, -0.165745064616
        0.003, -0.00228898832574, 0.200337231159, 0.14741641283, 43.1385383606, -24.774230957, 5092.50048828, -4.24696683884, 0.0026456231717
        0.004, -0.00261823507026, 0.200171917677, 0.147200629115, 34.0845069885, -28.6396598816, 5092.42089844, -4.21181583405, 0.167768806219
        0.005, -0.00290671363473, 0.200012728572, 0.146988451481, 23.9620342255, -32.4252967834, 5092.34863281, -4.17737007141, 0.329716980457
        0.006, -0.00315083982423, 0.199859321117, 0.146779716015, 12.9840011597, -36.1329421997, 5092.28515625, -4.14361333847, 0.488567501307
        0.007, -0.00334792258218, 0.199711367488, 0.146574288607, 1.37078619003, -39.7643051147, 5092.23144531, -4.11052942276,  0.6443836689
        0.008, -0.00349617889151, 0.199568450451, 0.146372050047, -10.6538257599, -43.3209838867, 5092.18847656, -4.07810306549, 0.797216117382
        0.009, -0.00359473540448, 0.199430182576, 0.146172881126, -22.8666629791, -46.8044967651, 5092.15722656, -4.04631996155, 0.947104632854
         0.01, -0.00364361284301, 0.19929613173, 0.145976677537, -35.0490455627, -50.2162780762, 5092.13769531, -4.01516628265, 1.09408020973
        0.011, -0.00364369689487, 0.19916588068, 0.145783349872, -46.9904556274, -53.5576858521, 5092.13037109, -3.98462939262,  1.2381670475
        0.012, -0.00359669397585, 0.199038997293, 0.145592793822, -58.4919624329, -56.8300170898, 5092.13574219, -3.95469689369, 1.37938427925
        0.013, -0.00350507721305, 0.198915064335, 0.145404949784, -69.3692932129, -60.0345077515, 5092.15332031, -3.92535686493, 1.51774823666
        0.014, -0.00337201659568, 0.198793694377, 0.145219728351, -79.455581665, -63.1723518372, 5092.18261719, -3.89659810066, 1.65327382088
        0.015, -0.00320130377077, 0.19867451489, 0.145037069917, -88.6036834717, -66.2446975708, 5092.22412109, -3.86840963364, 1.78597593307
        0.016, -0.002997265663, 0.198557168245, 0.144856929779, -96.6881027222, -69.2526626587, 5092.27587891, -3.84078073502, 1.91587030888
        0.017, -0.00276467343792, 0.198441341519, 0.144679263234, -103.606422424, -72.1973342896, 5092.33837891, -3.8137011528, 2.04297447205
        0.018, -0.00250864471309, 0.19832675159, 0.144504025578, -109.280342102, -75.0797958374, 5092.41015625, -3.78716135025, 2.16730880737
        0.019, -0.00223454483785, 0.198213160038, 0.144331172109, -113.656227112, -77.9011001587, 5092.48974609, -3.76115107536, 2.28889536858
         0.02, -0.00194788631052, 0.198100373149, 0.144160687923, -116.705200195, -80.6623001099, 5092.57666016, -3.7356607914, 2.40776014328
        0.021, -0.0016542278463, 0.197988241911, 0.143992543221, -118.422889709, -83.3644332886, 5092.66943359, -3.71068143845, 2.52393198013
        0.022, -0.00135907740332, 0.197876632214, 0.143826723099, -118.82862854, -86.0085525513, 5092.76660156, -3.68620324135, 2.63744211197
        0.023, -0.00106779695489, 0.197765484452, 0.143663197756, -117.964431763, -88.595703125, 5092.86669922, -3.66221737862, 2.74832630157
        0.024, -0.000785514246672, 0.197654783726, 0.143501967192, -115.893478394, -91.1269454956, 5092.96923828, -3.63871455193, 2.85662293434
        0.025, -0.000517040316481, 0.197544515133, 0.143343016505, -112.698402405, -93.6033401489, 5093.07177734, -3.61568546295, 2.96237444878
        0.026, -0.000266794580966, 0.19743475318, 0.143186345696, -108.479187012, -96.025970459, 5093.17382812, -3.59312105179, 3.06562638283
        0.027, -3.87395048165e-05, 0.197325572371, 0.143031924963, -103.350921631, -98.3959350586, 5093.27441406, -3.57101225853, 3.16642951965
        0.028, 0.000163675285876, 0.197217077017, 0.142879769206, -97.4413146973, -100.714324951, 5093.37109375, -3.54934978485, 3.26483821869
        0.029, 0.000337558391038, 0.197109431028, 0.142729848623, -90.8880233765, -102.982269287, 5093.46435547, -3.52812433243, 3.36091160774
         0.03, 0.000480610731756, 0.197002798319, 0.142582178116, -83.8359909058, -105.200904846, 5093.55175781, -3.50732707977, 3.45471310616
        0.031, 0.000591148389503, 0.196897342801, 0.142436727881, -76.4346237183, -107.371376038, 5093.63378906, -3.48694801331, 3.54631114006
        0.032, 0.000668113760184, 0.196793273091, 0.142293483019, -68.8350296021, -109.494850159, 5093.70898438, -3.46697807312, 3.63577866554
        0.033, 0.000711075495929, 0.196690797806, 0.142152443528, -61.1872901917, -111.572479248, 5093.77685547, -3.44740796089, 3.72319221497
        0.034, 0.000720216834452, 0.19659011066, 0.142013564706, -53.6378211975, -113.605453491, 5093.83691406, -3.42822813988, 3.80863165855
        0.035, 0.000696313858498, 0.19649143517, 0.141876846552, -46.3268966675, -115.594932556, 5093.88867188, -3.40942883492, 3.89218020439
        0.036, 0.000640703190584, 0.196394950151, 0.141742259264, -39.3863487244, -117.542076111, 5093.93261719, -3.3910009861, 3.97392201424
        0.037, 0.000555241364054, 0.196300879121, 0.141609758139, -32.9374656677, -119.448043823, 5093.96826172, -3.3729352951, 4.05394268036
        0.038, 0.00044225534657, 0.19620937109, 0.141479328275, -27.0891838074, -121.313964844, 5093.99609375, -3.35522246361,  4.1323261261
        0.039, 0.000304486864479, 0.196120589972, 0.141350910068, -21.9365196228, -123.140945435,   5094.015625, -3.33785319328, 4.20915460587
