Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 19.4942188263, 376.179260254,          4000, 105.235481262, -10.515173912, 16.0676574707
        0.025,             0,             0, -4.98999977112, 19.4941730499,  375.56539917,          4000, 105.002937317, -10.5151767731, 16.0361804962
         0.05,             0,             0, -4.98000001907, 19.4941272736, 374.951538086,          4000, 104.770393372, -10.5151805878, 16.0047016144
        0.075,             0,             0, -4.96999979019, 19.4940814972, 374.337677002,          4000, 104.537849426, -10.5151844025, 15.9732189178
          0.1,             0,             0, -4.96000003815, 19.4940376282, 373.723815918,          4000, 104.305305481, -10.5151872635, 15.9417352676
        0.125,             0,             0, -4.94999980927, 19.4939918518, 373.109954834,          4000, 104.072753906, -10.5151910782, 15.9102497101
         0.15,             0,             0, -4.94000005722, 19.4939479828,  372.49609375,          4000, 103.840209961, -10.5151948929, 15.8787622452
        0.175,             0,             0, -4.92999982834, 19.4939041138, 371.882232666,          4000, 103.607666016, -10.5151977539, 15.8472728729
          0.2,             0,             0, -4.92000007629, 19.4938583374, 371.268371582,          4000, 103.375114441, -10.5152015686, 15.8157815933
        0.225,             0,             0, -4.90999984741, 19.4938144684, 370.654510498,          4000, 103.142570496, -10.5152053833, 15.7842874527
         0.25,             0,             0, -4.90000009537, 19.4937705994, 370.040649414,          4000,  102.91002655, -10.5152082443, 15.7527914047
        0.275,             0,             0, -4.88999986649, 19.4937267303,  369.42678833,          4000, 102.677474976, -10.515212059, 15.7212944031
          0.3,             0,             0, -4.88000011444, 19.4936828613, 368.812927246,          4000,  102.44493103,  -10.51521492, 15.6897945404
        0.325,             0,             0, -4.86999988556, 19.4936389923, 368.199035645,          4000, 102.212379456, -10.5152187347, 15.6582927704
         0.35,             0,             0, -4.86000013351, 19.4935970306, 367.585174561,          4000,  101.97983551, -10.5152215958,  15.626789093
        0.375,             0,             0, -4.84999990463, 19.4935531616, 366.971313477,          4000, 101.747283936, -10.5152254105, 15.5952825546
          0.4,             0,             0, -4.84000015259, 19.4935092926, 366.357452393,          4000,  101.51473999, -10.5152292252, 15.5637750626
        0.425,             0,             0, -4.82999992371, 19.4934673309, 365.743560791,          4000, 101.282188416, -10.5152320862, 15.5322656631
         0.45,             0,             0, -4.82000017166, 19.4934234619, 365.129699707,          4000, 101.049636841, -10.5152359009, 15.5007543564
        0.475,             0,             0, -4.80999994278, 19.4933815002, 364.515838623,          4000, 100.817085266, -10.5152387619, 15.4692401886
          0.5,             0,             0, -4.80000019073, 19.4933376312, 363.901947021,          4000, 100.584541321, -10.5152425766, 15.4377250671
        0.525,             0,             0, -4.78999996185, 19.4932956696, 363.288085938,          4000, 100.351989746, -10.5152454376, 15.4062070847
         0.55,             0,             0, -4.78000020981, 19.4932537079, 362.674224854,          4000, 100.119438171, -10.5152492523, 15.3746881485
        0.575,             0,             0, -4.76999998093, 19.4932117462, 362.060333252,          4000, 99.8868865967, -10.5152521133, 15.3431663513
          0.6,             0,             0, -4.76000022888, 19.4931697845, 361.446472168,          4000,  99.654335022, -10.5152549744, 15.3116426468
        0.625,             0,             0,         -4.75, 19.4931278229, 360.832580566,          4000, 99.4217834473, -10.5152587891, 15.2801179886
         0.65,             0,             0, -4.73999977112, 19.4930858612, 360.218719482,          4000, 99.1892318726, -10.5152616501, 15.2485904694
        0.675,             0,             0, -4.73000001907, 19.4930438995, 359.604827881,          4000, 98.9566802979, -10.5152654648, 15.2170610428
