Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -4,             0, -3254.7956543, 473.718231201,          4000, -13.4119462967,             0, -0.623418152332
        0.025, -0.990000009537,            -4,             0, -3259.98046875, 480.100585938,          4000, -13.4490919113, -0.153604492545, -0.604535400867
         0.05, -0.980000019073,            -4,             0, -3265.23339844, 486.597473145,          4000, -13.4869041443, -0.30717664957, -0.58573949337
        0.075, -0.97000002861,            -4,             0, -3270.55517578, 493.211914062,          4000, -13.5254001617, -0.46068418026, -0.567045509815
          0.1, -0.959999978542,            -4,             0, -3275.94628906, 499.947113037,          4000, -13.5645980835, -0.614094734192, -0.548469603062
        0.125, -0.949999988079,            -4,             0, -3281.40844727, 506.806365967,          4000, -13.6045188904, -0.76737600565, -0.530028820038
         0.15, -0.939999997616,            -4,             0, -3286.94213867, 513.793029785,          4000, -13.6451807022, -0.92049574852, -0.511741757393
        0.175, -0.930000007153,            -4,             0, -3291.80200195, 520.664550781,          4000, -13.6823587418, -1.07322382927, -0.494529753923
          0.2, -0.920000016689,            -4,             0, -3297.78930664, 528.017089844,          4000, -13.7263059616, -1.22598898411, -0.476238638163
        0.225, -0.910000026226,            -4,             0, -3303.85229492, 535.510253906,          4000, -13.7710809708, -1.37851953506, -0.458162695169
         0.25, -0.899999976158,            -4,             0, -3309.99194336, 543.148010254,          4000, -13.8167057037, -1.53078317642, -0.440326362848
        0.275, -0.889999985695,            -4,             0, -3316.20874023, 550.934509277,          4000, -13.8632049561, -1.68274784088, -0.422755897045
          0.3, -0.879999995232,            -4,             0, -3322.50415039, 558.874023438,          4000, -13.9106035233, -1.83438169956, -0.405479311943
        0.325, -0.870000004768,            -4,             0, -3327.75878906, 566.582092285,          4000, -13.9524030685, -1.98510885239, -0.389870733023
         0.35, -0.860000014305,            -4,             0, -3333.89697266, 574.727111816,          4000, -13.9998044968, -2.13578009605, -0.373648256063
        0.375, -0.850000023842,            -4,             0, -3340.11450195, 583.036560059,          4000, -14.048163414, -2.28600144386, -0.35781443119
          0.4, -0.839999973774,            -4,             0, -3346.41162109, 591.515380859,          4000, -14.0975084305, -2.4357419014, -0.342405289412
        0.425, -0.829999983311,            -4,             0, -3352.7890625, 600.168701172,          4000, -14.1478681564, -2.58496928215, -0.327459454536
         0.45, -0.819999992847,            -4,             0, -3359.24731445,  609.00189209,          4000, -14.1992740631, -2.73365259171, -0.313018232584
        0.475, -0.810000002384,            -4,             0, -3365.78686523, 618.020385742,          4000, -14.2517595291, -2.88176035881, -0.299125850201
          0.5, -0.800000011921,            -4,             0, -3372.40795898, 627.230102539,          4000, -14.3053569794, -3.02926135063, -0.285829722881
        0.525, -0.790000021458,            -4,             0, -3379.11083984, 636.637023926,          4000, -14.3601016998, -3.17612481117, -0.273180693388
         0.55, -0.77999997139,            -4,             0, -3385.89575195, 646.247314453,          4000, -14.4160299301, -3.3223195076, -0.261233210564
        0.575, -0.769999980927,            -4,             0, -3392.76220703, 656.067626953,          4000, -14.4731807709, -3.46781468391, -0.250045746565
          0.6, -0.759999990463,            -4,             0, -3399.71069336, 666.104736328,          4000, -14.5315933228, -3.61257982254, -0.239680945873
        0.625,         -0.75,            -4,             0, -3406.74047852, 676.365722656,          4000, -14.5913085938, -3.7565844059, -0.230206131935
         0.65, -0.740000009537,            -4,             0, -3413.85107422, 686.858032227,          4000, -14.6523694992, -3.89979815483, -0.221693530679
        0.675, -0.730000019073,            -4,             0, -3421.04199219, 697.589294434,          4000, -14.7148218155, -4.04219055176, -0.214220792055
          0.7, -0.72000002861,            -4,             0, -3428.31225586, 708.567565918,          4000, -14.778711319, -4.18373250961, -0.207871317863
        0.725, -0.709999978542,            -4,             0, -3435.66040039, 719.801391602,          4000, -14.8440876007, -4.3243932724, -0.202734813094
         0.75, -0.699999988079,            -4,             0, -3443.08520508, 731.299438477,          4000, -14.9110021591, -4.46414375305, -0.198907807469
        0.775, -0.689999997616,            -4,             0, -3450.5847168, 743.070922852,          4000, -14.9795074463, -4.60295438766, -0.196494176984
          0.8, -0.680000007153,            -4,             0, -3458.15722656, 755.125488281,          4000, -15.0496606827, -4.74079561234, -0.195605829358
        0.825, -0.670000016689,            -4,             0, -3465.79980469, 767.473144531,          4000, -15.1215190887, -4.87763929367, -0.196363344789
         0.85, -0.660000026226,            -4,             0, -3473.50976562, 780.124389648,          4000, -15.1951446533, -5.01345586777, -0.198896750808
        0.875, -0.649999976158,            -4,             0, -3481.28369141, 793.090270996,          4000, -15.2706012726, -5.1482167244, -0.203346371651
          0.9, -0.639999985695,            -4,             0, -3489.11767578, 806.382263184,          4000, -15.3479557037,  -5.281894207, -0.209863677621
