Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16095485384e-06, 0.201122447848, 0.148491621017, 7.53505128159e-06, -12.7403087616, 5092.70410156, -4.36387681961, -0.505279839039
        0.001, -0.000179045891855, 0.200752660632, 0.147785708308, -0.776183784008, -15.7270364761, 5092.70898438, -4.32030010223, -0.376399815083
        0.002, -0.000357540120604, 0.200611114502, 0.147615879774, -3.78482484818, -18.9763050079, 5092.70947266, -4.29085302353, -0.242352068424
        0.003, -0.000521742040291, 0.200467243791, 0.14743193984, -8.40527057648, -22.4301643372, 5092.70898438, -4.25945520401, -0.101283378899
        0.004, -0.000665828411002, 0.200327962637, 0.147239953279,  -14.35688591, -25.964887619, 5092.70703125, -4.22721910477, 0.0419669002295
        0.005, -0.000785169017036, 0.200201481581, 0.147046089172, -21.2819919586, -29.493227005, 5092.70556641, -4.19498491287,  0.1841789186
        0.006, -0.000876988226082, 0.200084835291, 0.146853908896, -28.7266273499, -32.9679069519, 5092.70361328, -4.16321372986, 0.323821663857
        0.007, -0.000940833066124, 0.199972912669, 0.146665051579, -36.2107963562, -36.3641624451, 5092.70263672, -4.13213777542, 0.460269361734
        0.008, -0.000978493480943, 0.199861884117, 0.146480172873, -43.3073348999, -39.6681022644, 5092.70361328, -4.10188007355, 0.593280255795
        0.009, -0.000993507448584, 0.199748694897, 0.146299600601, -49.6891860962, -42.870929718, 5092.70605469, -4.07251262665, 0.722737729549
         0.01, -0.00099045666866, 0.199630916119, 0.146123439074, -55.1452293396, -45.9664764404, 5092.71142578, -4.04408454895, 0.848540961742
        0.011, -0.000974240130745, 0.199506640434, 0.145951792598, -59.5750312805, -48.9503173828, 5092.71972656, -4.01662826538, 0.970574140549
        0.012, -0.000949459674302, 0.19937466085, 0.145784720778,  -62.97133255, -51.8196296692, 5092.73095703, -3.99016571045, 1.08871436119
        0.013, -0.000919992220588, 0.199234440923, 0.145622253418, -65.3964614868, -54.5733184814, 5092.74609375, -3.96470499039,  1.2028554678
        0.014, -0.000888775743078, 0.19908644259, 0.14546443522, -66.9574966431, -57.2121963501, 5092.76464844, -3.94023895264, 1.31293511391
        0.015, -0.000857785751577, 0.198932111263, 0.145311176777, -67.7835693359, -59.7389793396, 5092.78710938, -3.91674494743,  1.4189530611
        0.016, -0.000828151416499, 0.198773950338, 0.145162388682, -68.0077896118, -62.1581230164, 5092.81298828, -3.89418625832, 1.52097904682
        0.017, -0.000800348760094, 0.198615327477, 0.145017921925, -67.7545852661, -64.4754714966, 5092.84228516, -3.87251496315, 1.61914861202
        0.018, -0.000774425163399, 0.198460027575, 0.144877627492, -67.1261291504, -66.6971893311, 5092.87451172, -3.85167980194, 1.71362960339
        0.019, -0.000750233302824, 0.198311924934, 0.144741371274, -66.2127380371, -68.8304748535, 5092.90917969, -3.83162307739, 1.80464351177
         0.02, -0.000727535982151, 0.198174342513, 0.144608974457, -65.0903015137,  -70.88306427, 5092.94580078, -3.81228208542, 1.89244604111
        0.021, -0.000706156541128,  0.1980496943, 0.144480258226, -63.8181343079, -72.8625488281, 5092.98388672, -3.79359459877, 1.97730147839
        0.022, -0.000686083105393, 0.197939351201, 0.144355028868, -62.4438819885, -74.7764129639, 5093.02294922, -3.77549934387, 2.05948019028
        0.023, -0.000667532440275, 0.197843655944, 0.144233077765, -61.0081787109, -76.6321640015, 5093.06201172, -3.75793361664, 2.13925981522
        0.024, -0.000650967995171, 0.197761982679, 0.144114106894, -59.5490531921, -78.4375839233, 5093.10058594, -3.74083065987, 2.21693181992
