 keyword	Units	Component	Where	Description	Internal
IMP_AEB_STOP_ACTIVE	-	VS Commands	State	(null)	0
IMP_AT_CLUTCH	-	Powertrain	Dyn	Control for torque converter lockup clutch: 0 -> disengaged, 1 -> engaged)	VARIABLE
IMP_AV_D3_F	rpm	Powertrain	Dyn	Front diff input shaft speed for external differential	0
IMP_AV_ENG	rpm	Powertrain	Dyn	Engine speed (external engine and HEV only)	VARIABLE
IMP_AV_TC	rpm	Powertrain	Dyn	Torque converter speed for external transmissions	0
IMP_AV_TRANS	rpm	Powertrain	Dyn	Transmission output speed	VARIABLE
IMP_AX_FIELD	m/s2	Environment	Dyn	Field acceleration in global X direction	0
IMP_AX_SC	g	Speed controller	Dyn	Acceleration command for speed controller	VARIABLE
IMP_AY_FIELD	m/s2	Environment	Dyn	Field acceleration in global Y direction	0
IMP_AZ_FIELD	m/s2	Environment	Dyn	Field acceleration in global Z direction	0
IMP_BK_STAT	-	Brakes	Dyn	Brake apply status: 0 or 1 (based on control pressure)	VARIABLE
IMP_CLT_D1_2	-	Powertrain	Dyn	2nd Clutch control for front diff. For Yaw Control differentials the internal value is 0.	VARIABLE
IMP_CLUTCH	-	Powertrain	Dyn	Clutch control for transmission	VARIABLE
IMP_CLUTCH_D1	-	Powertrain	Dyn	Clutch control for front diff. For Yaw Control differentials the internal value is 0.	VARIABLE
IMP_CLUTCH_L1	-	Powertrain	Dyn	Twin clutch control in left side of front diff. The internal value is 0.	0
IMP_CLUTCH_R1	-	Powertrain	Dyn	Twin clutch control in right side of front diff. The internal value is 0.	0
IMP_CMP_EXT_L1	mm	Suspensions	Kin	Compression for spring L1	VARIABLE
IMP_CMP_EXT_L2	mm	Suspensions	Kin	Compression for spring L2	VARIABLE
IMP_CMP_EXT_R1	mm	Suspensions	Kin	Compression for spring R1	VARIABLE
IMP_CMP_EXT_R2	mm	Suspensions	Kin	Compression for spring R2	VARIABLE
IMP_DSTEER_CON_1	deg/s	Steering	Kin	Steering gear output angular rate, axle 1	VARIABLE
IMP_DSTEER_CON_2	deg/s	Steering	Kin	Steering gear output angular rate, axle 2	VARIABLE
