Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, 6.40157365799, 3478.93481445,          4000, -30.9094181061, -10.4806928635,  10.881562233
        0.025,             0, -9.98999977112,             0, 6.40861606598, 3479.06152344,          4000, -30.9101581573, -10.4807682037, 10.8295583725
         0.05,             0, -9.97999954224,             0,  6.4156703949, 3479.18798828,          4000, -30.9108943939, -10.480843544, 10.7774353027
        0.075,             0, -9.97000026703,             0, 6.42273712158, 3479.31347656,          4000, -30.9116249084, -10.4809188843,   10.72519207
          0.1,             0, -9.96000003815,             0, 6.42981624603, 3479.43823242,          4000, -30.9123535156, -10.4809932709, 10.6728277206
        0.125,             0, -9.94999980927,             0, 6.43690776825,     3479.5625,          4000, -30.9130764008, -10.4810686111, 10.6203432083
         0.15,             0, -9.93999958038,             0,  6.4440112114, 3479.68603516,          4000, -30.9137954712, -10.4811439514, 10.5677366257
        0.175,             0, -9.93000030518,             0, 6.45112752914, 3479.80859375,          4000, -30.9145107269, -10.481218338, 10.5150089264
          0.2,             0, -9.92000007629,             0, 6.45825624466, 3479.93066406,          4000, -30.915222168, -10.4812927246, 10.4621591568
        0.225,             0, -9.90999984741,             0, 6.46539735794, 3480.05200195,          4000, -30.9159297943, -10.4813671112, 10.4091882706
         0.25,             0, -9.89999961853,             0, 6.47255086899, 3480.17260742,          4000, -30.9166316986, -10.4814414978, 10.3560943604
        0.275,             0, -9.89000034332,             0, 6.47971725464, 3480.29272461,          4000, -30.9173316956, -10.4815158844, 10.3028774261
          0.3,             0, -9.88000011444,             0, 6.48689603806, 3480.41186523,          4000, -30.9180259705, -10.481590271, 10.2495384216
        0.325,             0, -9.86999988556,             0, 6.49408721924, 3480.53027344,          4000, -30.9187145233, -10.4816646576, 10.1960754395
         0.35,             0, -9.85999965668,             0, 6.50129127502, 3480.64794922,          4000, -30.9194011688, -10.4817390442, 10.1424894333
