Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16179568169e-06, 0.201136156917, 0.148473039269, -323.098876953, -247.204360962, 5828.78027344, -7.51974201202, 7.73102760315
       0.0005, 0.000608617439866, 0.20333352685, 0.148515224457, -322.604736328, -247.130874634, 5826.29150391, -7.55988836288, 7.72887420654
        0.001, 0.00119759235531, 0.205264061689, 0.148647293448, -322.109924316, -246.985824585, 5818.63720703, -7.63677310944, 7.71321821213
       0.0015, 0.00176690972876, 0.207018896937, 0.148828148842, -321.714050293, -246.844909668, 5809.32861328, -7.76278400421, 7.67920780182
        0.002, 0.00231469748542, 0.208610638976, 0.149054393172, -321.284729004, -246.674057007, 5799.08251953, -7.92948675156, 7.65915107727
       0.0025, 0.00283794454299, 0.210052683949, 0.149321943521, -320.704223633, -246.547088623, 5787.66552734, -8.07992458344, 7.62126684189
        0.003, 0.00333574903198, 0.211355790496, 0.149627119303, -319.664459229, -246.386703491, 5776.48242188, -8.27440643311, 7.59767866135
       0.0035, 0.00380637054332, 0.212536513805, 0.149966567755, -317.982940674, -246.255752563, 5765.75097656, -8.43217182159, 7.57397794724
        0.004, 0.0042498037219, 0.213606745005, 0.150337427855, -315.190887451, -246.125366211, 5757.14648438, -8.59258270264, 7.54052782059
       0.0045, 0.00466566439718, 0.21458542347, 0.150737240911, -310.872406006, -246.018707275, 5749.47705078, -8.74291229248, 7.52636289597
        0.005, 0.0050541954115, 0.215480729938, 0.151163995266, -305.061340332, -245.977676392, 5743.82617188, -8.85278606415, 7.49816989899
       0.0055, 0.00541665311903, 0.216307654977, 0.151615828276, -297.377807617, -245.944763184, 5740.70849609, -8.96708679199, 7.48299407959
        0.006, 0.00575356604531, 0.217081278563, 0.152091428638, -287.759765625, -245.984481812, 5738.70654297, -9.03464221954, 7.46874332428
       0.0065, 0.00606699194759, 0.217806115746, 0.152589648962, -276.354003906, -246.067245483, 5738.88037109, -9.07516670227,  7.4527797699
        0.007, 0.00635796226561, 0.218495130539, 0.153109520674, -263.226226807, -246.194381714, 5739.92675781, -9.10310554504, 7.44736862183
       0.0075, 0.00662810821086, 0.219151839614, 0.153650298715, -248.485076904, -246.39956665, 5742.18652344, -9.06826877594, 7.43149232864
        0.008, 0.00687899487093, 0.219782650471, 0.154211297631, -232.18649292, -246.635314941, 5743.97314453, -9.04239654541, 7.42688655853
       0.0085, 0.00711130304262, 0.220385283232, 0.154791876674, -214.831237793, -246.967803955, 5745.23632812, -8.95684242249, 7.41846752167
        0.009, 0.00732625834644, 0.220959380269, 0.155391231179, -196.464660645, -247.336135864, 5746.41845703, -8.87176513672, 7.41000461578
       0.0095, 0.00752356601879, 0.221507251263, 0.156008660793, -177.304885864, -247.764892578, 5745.10253906, -8.76364803314, 7.40846729279
         0.01, 0.00770346075296,  0.2220184654, 0.156643301249, -157.930374146, -248.249130249, 5742.44921875, -8.61657714844, 7.40290355682
       0.0105, 0.00786529388279, 0.222492858768, 0.157294005156, -138.556900024, -248.736328125, 5737.42871094, -8.4783115387, 7.40422058105
        0.011, 0.00800817459822, 0.222922950983, 0.157959669828, -119.506492615, -249.292098999, 5730.35449219, -8.29183959961, 7.39813566208
