Time,Ay,AVz
            0, 1.06183133131e-19,             0
        0.025, -3.37446464772e-16, 1.73452622318e-15
         0.05, -3.52958999698e-16, 8.9766391816e-15
        0.075, -3.33766609542e-16, 1.85014272647e-14
          0.1, -1.97749410362e-16, 2.41094206502e-14
        0.125, -1.3633428067e-16, 2.48005402429e-14
         0.15, 4.97661833537e-17, 2.50091288824e-14
        0.175, 2.87885534706e-16, 2.58324499893e-14
          0.2, 2.92083588812e-16, 2.64505400953e-14
        0.225, 2.55225744205e-16, 2.50019731481e-14
         0.25, 4.10041397046e-16, 2.2145446013e-14
        0.275, 3.84721676429e-16, 1.79692313817e-14
          0.3, 2.12272226994e-16, 1.37509581765e-14
        0.325, 3.04977362563e-16, 1.00095365685e-14
         0.35, 2.13227693393e-16, 3.48385837052e-15
        0.375, 1.89384324733e-16, -3.03425836431e-16
          0.4, 2.63374359976e-16, -4.51557838159e-15
        0.425, 6.68648470307e-17, -1.0250672449e-14
         0.45, 1.83318337986e-16, -1.45646569891e-14
        0.475, 5.24181277063e-17, -1.74276012458e-14
          0.5, -1.26039184975e-18, -1.82331160261e-14
        0.525, -1.36494012555e-16, -1.34051679872e-14
         0.55, -8.12563934083e-17, -1.52777079589e-14
        0.575, 8.11411985818e-18, -1.48923537076e-14
          0.6, -1.84004964069e-16, -1.47765609156e-14
        0.625, -2.3212276175e-16, -1.28044174927e-14
         0.65, -1.70620228846e-16, -5.69195129127e-15
        0.675, -2.64174038488e-16, -4.50593311154e-16
          0.7, -2.20630496654e-16, 2.31791863035e-16
        0.725, -2.82362999004e-17, 4.67927099266e-16
         0.75, -3.35027404849e-17, 2.68171562837e-15
        0.775, -2.71953109666e-16, -1.59577089735e-15
          0.8, -2.1191718784e-16, -2.02273797145e-15
        0.825, -1.67889447563e-16, -1.97016157762e-15
         0.85, -3.76892947944e-16, -8.56744603511e-15
        0.875, -1.53719142221e-17, -9.41753507724e-15
          0.9, -1.50679260087e-16, -6.60222117726e-15
        0.925, -3.98255145343e-16, -3.15491736062e-15
         0.95, -2.92710393193e-16, 3.72657094993e-16
        0.975, 5.08239289815e-17, 2.94527914139e-16
            1, -1.54924195481e-17, 2.23571085351e-15
        1.025, 4.88444030576e-17, 1.02873091651e-14
         1.05, -1.75543118161e-16, 1.14133090254e-14
        1.075, 2.67708204051e-16, 1.10667073785e-14
          1.1, 1.56653621692e-16, 8.68906641381e-15
        1.125, 1.30101229908e-16, 7.3931314155e-15
         1.15, 1.31157546168e-16, 7.38163802544e-15
        1.175, 7.13991996858e-17, 3.1267901493e-15
          1.2, 1.65093060932e-16, 4.76462279699e-16
        1.225, 1.05791159329e-16, 1.8746916471e-15
         1.25, 1.79064432646e-16, 3.68851593013e-15
        1.275, 2.07539205408e-16, 4.47214126151e-15
          1.3, 3.7764278386e-16, 7.00942633743e-15
        1.325, 1.0409759636e-16, 5.49030832191e-15
         1.35, 9.63518043126e-17, 3.48642212749e-15
        1.375, 4.52366845945e-17, 1.98836219808e-15
          1.4, 1.11678025078e-16, 2.00454243319e-15
        1.425, -7.43536729397e-19, 7.30565122913e-16
         1.45, -1.28574055974e-16, -1.15474529979e-15
        1.475, 7.34180233063e-17, -8.65454166852e-16
          1.5, 2.70574934121e-16, 2.0167555895e-15
        1.525, 3.37418254604e-17, -2.78136227835e-15
         1.55, -1.67699857767e-16, -7.17532112828e-15
        1.575, -6.81416102323e-17, -1.04150485098e-14
          1.6, -4.20637024828e-17, -9.2913322503e-15
        1.625, 0.000189725717064, 0.000396535266191
         1.65, 0.00188063341193, 0.00833992473781
        1.675, 0.00636184075847, 0.0434556417167
          1.7, 0.0155862271786, 0.137646049261
        1.725, 0.0316846445203, 0.342069447041
         1.75, 0.0549448728561, 0.711444914341
        1.775, 0.0867216736078,  1.2993350029
          1.8, 0.126282200217, 2.15207672119
        1.825, 0.172915205359,  3.2986574173
         1.85, 0.224572062492, 4.73589658737
        1.875, 0.278880268335,  6.4289484024
          1.9, 0.337090998888, 8.33858013153
