Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,           -10,             0, -3003.49145508, 961.412414551,          4000, -16.2503833771,             0,   2.851978302
        0.025, -0.990000009537,           -10,             0, -3003.7253418, 971.648986816,          4000, -16.309967041, -0.151573315263, 2.89830517769
         0.05, -0.980000019073,           -10,             0, -3003.89160156, 982.051086426,          4000, -16.3705120087, -0.303115546703, 2.94508266449
        0.075, -0.97000002861,           -10,             0, -3003.98681641, 992.622619629,          4000, -16.4320430756, -0.454595595598, 2.99231505394
          0.1, -0.959999978542,           -10,             0, -3004.00732422, 1003.36767578,          4000, -16.4945831299, -0.605982363224, 3.04000782967
        0.125, -0.949999988079,           -10,             0, -3003.94897461,  1014.2902832,          4000, -16.5581588745, -0.757244884968,  3.0881652832
         0.15, -0.939999997616,           -10,             0, -3003.80786133, 1025.39477539,          4000, -16.6227931976, -0.908351957798, 3.13679289818
        0.175, -0.930000007153,           -10,             0, -3003.00268555, 1036.20007324,          4000, -16.6821308136, -1.05907022953, 3.18252491951
          0.2, -0.920000016689,           -10,             0, -3002.91064453, 1047.87036133,          4000, -16.7514457703, -1.20983588696, 3.23341679573
        0.225, -0.910000026226,           -10,             0, -3002.72021484, 1059.73962402,          4000, -16.821931839, -1.3603760004, 3.28481388092
         0.25, -0.899999976158,           -10,             0, -3002.42651367, 1071.81274414,          4000,  -16.89361763, -1.51065969467, 3.33672118187
        0.275, -0.889999985695,           -10,             0, -3002.02392578, 1084.09484863,          4000, -16.9665336609, -1.66065621376, 3.38914346695
          0.3, -0.879999995232,           -10,             0, -3001.50708008, 1096.59130859,          4000, -17.0407104492, -1.81033480167, 3.44208550453
        0.325, -0.870000004768,           -10,             0, -3000.10375977,   1108.609375,          4000, -17.1071395874, -1.95915305614, 3.49073863029
         0.35, -0.860000014305,           -10,             0, -2999.12329102,  1121.3404541,          4000, -17.1812400818, -2.10790514946, 3.54329252243
        0.375, -0.850000023842,           -10,             0, -2998.01220703, 1134.29870605,          4000, -17.2566642761, -2.25622487068, 3.59635615349
          0.4, -0.839999973774,           -10,             0, -2996.76367188, 1147.48999023,          4000, -17.333442688, -2.40408158302, 3.64993357658
        0.425, -0.829999983311,           -10,             0, -2995.37084961, 1160.92016602,          4000, -17.411611557, -2.55144500732, 3.70402765274
         0.45, -0.819999992847,           -10,             0, -2993.82617188, 1174.59558105,          4000, -17.4912109375, -2.69828486443, 3.75864171982
        0.475, -0.810000002384,           -10,             0, -2992.12207031, 1188.52270508,          4000, -17.5722732544, -2.84457111359, 3.81377863884
          0.5, -0.800000011921,           -10,             0, -2990.25048828, 1202.70825195,          4000, -17.6548404694, -2.99027371407, 3.86944007874
        0.525, -0.790000021458,           -10,             0, -2988.20288086, 1217.15893555,          4000, -17.7389507294, -3.13536286354, 3.92562818527
         0.55, -0.77999997139,           -10,             0, -2985.97045898, 1231.88208008,          4000, -17.8246459961, -3.27980875969, 3.98234391212
        0.575, -0.769999980927,           -10,             0, -2983.54370117,  1246.8848877,          4000, -17.9119701385, -3.42358160019, 4.03958797455
          0.6, -0.759999990463,           -10,             0, -2980.9128418, 1262.17492676,          4000, -18.0009670258, -3.56665205956, 4.09736013412
