Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, -0.0004953736335888, 0, 0, -7.759647030163, -2.049302192529, -1.064892500745, -2.337303269366, 7130.203852961, 6458.814293759, 5831.812194411, 7552.181926091, 4, -84.14774948386, 0, 82.9357141149, 0, 0.3508973245267, 0.09303293458557, 0.04855554090766, 0.1054713130491, -0, -0.220580710889, -0.2205752285352, 0.048269343342, 0.08516860699536, 0.04826970105439, 0.2966953822509, 0.08516797586722, 0.04826934334199, 0.08516797586722, -0.0004289509091566, -0.0006127089681532, -0.0006127241969139, -0.0006127089681532, 0.1934450556749, 3.63768311996e-14, 0, -300, -303.0317291815, -300.5, -300.0013945805, -303.031683285, -300.0013878394, -303.0317750781, 0, 0, 0.1945895115688, -0.003360617010397, 0.0001858311603858, -0.003360617010397, 0, -0.0002490381006902, 0, 0.7822825921576, 0.78225009606, -0.7828039795643, -0.7827481722613, -0.01489736544037, 0.343094305827, 0, 0.3428247570458, 0.3442574615977, 0.3455917663084, 0.3419311500564
0.025, -0.0004218096162604, 0.005787068576032, 0, 0, 120.4595018294, 41.15207245236, -46.62060768073, 41.29657978419, 6544.863754003, 6776.457814222, 6125.505431379, 7105.367336407, 4, -99.6294317637, 0, 81.90712079309, 0, -5.464109551793, -1.863152120752, 2.119906297962, -1.866498855021, -0.5911686829309, -0.2212344294394, -0.2212353066616, 0.04524243358591, 0.02562064671821, 0.04524277085684, 0.3330958780209, 0.02562045572269, 0.0541015786899, 0.02562045572269, 0.2543278526319, 0.2540875754503, 0.2540804201893, 0.2541482867158, 0.1432534006469, -0.05171559517313, 0.00305393579741, -299.4444836558, -302.4762154097, -299.9444836558, -299.4458041102, -302.4762424185, -299.4459438074, -302.4761884009, -8.277189759793e-05, 0, 0.1444585004557, 0.001977624312146, -0.05158987311687, 0.001977624312146, -1.502617524996e-05, -0.0002856255043269, 0, 0.7822468130534, 0.7822142957979, -0.7827948827993, -0.7827855468065, -0.01489271307072, 0.3432320665884, 0, 0.3440689434371, 0.3435819703004, 0.3449668559326, 0.3428821628764
0.05, 0.01306610724449, 0.005433737452465, 0, 0, 172.9051459597, 16.95314341174, -60.37433566673, 17.31008869145, 6446.953335514, 6882.852415622, 6285.354765718, 7091.552141292, 4, -98.62523689003, 0, 81.91751444923, 0, -7.848619971222, -0.7667586725918, 2.742642547193, -0.7819896824012, -0.3687706418909, -0.2217595860192, -0.2217604093378, 0.04527487581083, 0.01625681831405, 0.04527521492787, 0.3383052213803, 0.01625669654756, 0.05328612854149, 0.01625669654756, 0.5089968039112, 0.5087509464574, 0.5087565319898, 0.5088256577617, 0.1478655952737, -0.04676616770582, -0.00406438589562, -298.8890623755, -301.9208032288, -299.3890623755, -298.8903918969, -301.920843942, -298.890516558, -301.9207625157, 1.741545280945e-05, 0, 0.1491941689275, 0.002981073426824, -0.04654288067778, 0.002981073426824, 3.437776286473e-05, -0.0002832750524819, 0, 0.7822877292118, 0.782216692391, -0.7827458686419, -0.782783242496, -0.01491048303675, 0.3431335983616, 0, 0.3442770765545, 0.3433556193374, 0.344626755714, 0.3429115773858
0.075, 0.05207876293065, 0.004338684805373, 0, 0, 184.5932090649, 1.731231920966, -70.95042675876, 1.926309092156, 6663.906257886, 6919.09058109, 5948.454919022, 7116.392002828, 4, -102.1832787234, 0, 86.7840977215, 0, -8.367984179787, -0.07826181527289, 3.230902926758, -0.08698242518333, -0.1751105280849, -0.2196632518694, -0.2196641713057, 0.04964389779334, 0.01536893694079, 0.04964426263817, 0.3341134433701, 0.01536882399072, 0.05712645706077, 0.01536882399072, 0.7636157197648, 0.7633688835743, 0.7633870193658, 0.7634574271961, 0.1496684493596, -0.0436907748716, -0.03168436742958, -298.3337630201, -301.3654930628, -298.8337630201, -298.3350945317, -301.365550529, -298.3351936279, -301.3654355967, 0.0007225910310949, 0, 0.1516737979349, 0.004207755723135, -0.04274951099045, 0.004207755723135, 0.000176955822743, -0.0002310346509511, 0, 0.7824169420869, 0.7822689350881, -0.7826318024101, -0.78273100439, -0.01506685694893, 0.343068623207, 0, 0.3438156302409, 0.3432785183289, 0.3453435412855, 0.342858728085
0.1, 0.08262176139996, 0.002724492540068, 0, 0, 168.0621939263, -3.636697816511, -87.02824313872, -3.618074462464, 6623.50337942, 6921.737358452, 6075.063935504, 7132.448464234, 4, -102.3807982106, 0, 88.62593813891, 0, -7.620395388658, 0.1644033170449, 3.959760081371, 0.1633666185696, -0.1145597481289, -0.2160962552334, -0.2160973944085, 0.05617597150989, 0.01641349003688, 0.05617637106117, 0.3450080516907, 0.01641337329565, 0.06352086753006, 0.01641337329565, 1.018184474007, 1.017936239598, 1.017978713723, 1.01805118415, 0.1513722917918, -0.04290294432134, -0.08495640923635, -297.7785738667, -300.8102808759, -298.2785738667, -297.7799074768, -300.8103693664, -297.7799572631, -300.8101923853, 0.00244268346007, 0, 0.1551181209808, 0.006479404064482, -0.04022101599417, 0.006479404064482, 0.0003960778713273, -0.0001593248261963, 0, 0.7825866676625, 0.7823406380629, -0.7824539083246, -0.7826592877153, -0.01528009224501, 0.3430487244106, 0, 0.3439012048049, 0.3432728851522, 0.3450741199865, 0.342824563669
0.125, 0.1201610453683, 0.002609050970184, 0, 0, 167.3409311059, -1.06955388472, -94.48805483413, -1.112017119305, 6585.502380144, 6910.813788175, 6529.918233256, 7135.169953966, 4, -101.54577647, 0, 87.35051115369, 0, -7.589490073767, 0.04835436773739, 4.286284795495, 0.05021068137466, -0.07443416666274, -0.2123518267266, -0.2123532340425, 0.06360892953231, 0.01747637726557, 0.06360936640761, 0.3571698197316, 0.01747625723457, 0.07164884111851, 0.01747625723457, 1.272707398561, 1.272454241938, 1.272529491492, 1.272607475025, 0.1478176360648, -0.04697838601322, -0.1591588018775, -297.2234812224, -300.2551635469, -297.7234812224, -297.2248212541, -300.2552964912, -297.2248079589, -300.2550306027, 0.005057978521439, 0, 0.1542013386748, 0.00973436999988, -0.04165521729533, 0.00973436999988, 0.0006672069221898, -8.180928507487e-05, 0, 0.7828045305353, 0.7824181430211, -0.7822284816565, -0.7825817615913, -0.01547932442422, 0.3430574481457, 0, 0.343981609115, 0.3432961249068, 0.3441062878987, 0.3428187713847
0.15, 0.1615527969827, 0.003478639290245, 0, 0, 173.2694345688, 4.749204475431, -88.66115134394, 4.785299549398, 6611.51888453, 6895.441170906, 6365.674726501, 7130.119051636, 4, -101.5604401503, 0, 89.92510985384, 0, -7.857124181621, -0.2147334432513, 4.026006865258, -0.216075863846, 0.1043238275378, -0.2085041880065, -0.2085058546093, 0.0705077341949, 0.01828038976167, 0.07050820106244, 0.3640990830019, 0.01828026871684, 0.07765386000782, 0.01828026871684, 1.527176156068, 1.526923578619, 1.527045836245, 1.527125418357, 0.1530278706551, -0.04177476966899, -0.2516237059443, -296.6684839967, -299.7001429612, -297.1684839967, -296.6698542536, -299.7003315778, -296.6697341755, -299.6999543445, 0.008523349103397, 0, 0.1628783220349, 0.01381078724905, -0.03296914477415, 0.01381078724905, 0.0009729878257098, -7.277741616085e-06, 0, 0.7830652077095, 0.7824926596993, -0.7819672985337, -0.7825072151825, -0.01566326648298, 0.343079173791, 0, 0.3439259941197, 0.3433288310982, 0.344455694858, 0.3428295164838
0.175, 0.1895050651695, 0.004039257526381, 0, 0, 171.833703233, 12.27618565505, -87.35894575056, 12.51198647907, 6608.974858816, 6892.336162896, 6154.337063501, 7118.903999572, 4, -101.2765034154, 0, 92.47749833157, 0, -7.792121655328, -0.5551497142276, 3.972508009896, -0.5650794811399, 0.2307922210595, -0.2060456206525, -0.2060473618333, 0.07416286810605, 0.01764864978169, 0.07416334766347, 0.368741871437, 0.01764853565956, 0.08089260837704, 0.01764853565956, 1.781600394377, 1.781347306347, 1.781525992923, 1.781606855065, 0.1556675474218, -0.03935163844055, -0.3604085658221, -296.113567073, -299.1452119301, -296.613567073, -296.1149845412, -299.1454658129, -296.1147410485, -299.1449580473, 0.01287672530378, 0, 0.1698725269201, 0.0185896661048, -0.02618430110497, 0.0185896661048, 0.00128982097847, 5.702566178314e-05, 0, 0.7833562756938, 0.782556947354, -0.7816745246571, -0.7824428960304, -0.01576970766259, 0.3430944090828, 0, 0.3439312285969, 0.3433354386848, 0.3449053220724, 0.3428533794807
0.2, 0.2138007607682, 0.00455490253046, 0, 0, 171.6449766488, 21.88356518039, -92.69122377379, 22.29683356217, 6590.387715446, 6907.111069689, 6514.93566012, 7102.629939744, 4, -100.8535871135, 0, 90.10589021294, 0, -7.784467367575, -0.9897761344925, 4.205095238671, -1.007350718173, 0.2200055780725, -0.2061712409419, -0.2061727848576, 0.07329306609016, 0.01523007046794, 0.07329354060126, 0.3705233645945, 0.01522997186523, 0.08203662202961, 0.01522997186523, 2.035989139787, 2.035728248182, 2.035964589334, 2.036051868832, 0.1439683167997, -0.05111965982172, -0.4825540853079, -295.5587184168, -298.5903646809, -296.0587184168, -295.5601909238, -298.5906908164, -295.5598358672, -298.5900385454, 0.01802101600158, 0, 0.1633246389196, 0.02388011383982, -0.03280382714222, 0.02388011383982, 0.001605770210287, 0.0001140604733378, 0, 0.7836774466309, 0.7826139648645, -0.7813511439163, -0.7823858439178, -0.01574930068632, 0.3430960080817, 0, 0.3439707058934, 0.3433040068723, 0.3441380820105, 0.3428880092911
0.225, 0.2383505216318, 0.005376576560356, 0, 0, 175.5707906749, 29.50117947335, -89.84205821106, 30.03401079412, 6582.131416494, 6920.404377874, 6540.068951017, 7092.121760817, 4, -100.4488976608, 0, 89.20713489649, 0, -7.96290372645, -1.334415582548, 4.075106056598, -1.357186297069, 0.328809140766, -0.2079991348222, -0.208000463148, 0.07025072163089, 0.01337603965118, 0.07025118454582, 0.3673833095033, 0.01337595150969, 0.07989160410087, 0.01337595150969, 2.290329445141, 2.290066431575, 2.29036791834, 2.29045743987, 0.1385262077529, -0.05635200586797, -0.615955795691, -295.003947169, -298.0356060022, -295.503947169, -295.005501525, -298.0360079099, -295.0050050431, -298.0352040944, 0.02369422205047, 0, 0.1635560498369, 0.02942826707613, -0.0323681794904, 0.02942826707613, 0.001942241639991, 0.0001796816684256, 0, 0.7840352250447, 0.782679557131, -0.7809949682683, -0.7823201937941, -0.01564519613103, 0.3430930479498, 0, 0.3439883935181, 0.3432757260118, 0.3440846251814, 0.3429103698878
