Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -6,             0, -3191.55883789, 659.123535156,          4000, -14.4909992218,             0, 0.589942514896
        0.025, -0.990000009537,            -6,             0, -3195.42138672,  667.30859375,          4000, -14.5386371613, -0.153119936585, 0.617459535599
         0.05, -0.980000019073,            -6,             0,    -3199.3125, 675.636657715,          4000, -14.5871076584, -0.306207835674, 0.644986152649
        0.075, -0.97000002861,            -6,             0, -3203.23120117,  684.11126709,          4000, -14.636431694, -0.459231674671, 0.672509551048
          0.1, -0.959999978542,            -6,             0, -3207.17724609,  692.73638916,          4000, -14.686630249, -0.612159490585, 0.700016021729
        0.125, -0.949999988079,            -6,             0, -3211.14990234, 701.515930176,          4000, -14.7377281189, -0.764959156513, 0.727490842342
         0.15, -0.939999997616,            -6,             0, -3215.14819336, 710.453979492,          4000, -14.7897481918, -0.91759878397, 0.754918336868
        0.175, -0.930000007153,            -6,             0, -3218.46923828, 719.208740234,          4000, -14.8376255035, -1.06984746456, 0.780552566051
          0.2, -0.920000016689,            -6,             0, -3222.80297852, 728.616027832,          4000, -14.8936252594, -1.22213578224, 0.808535397053
        0.225, -0.910000026226,            -6,             0, -3227.16015625, 738.197937012,          4000, -14.9506521225, -1.3741915226, 0.836422979832
         0.25, -0.899999976158,            -6,             0, -3231.53930664, 747.959289551,          4000, -15.0087337494, -1.52598297596, 0.864194393158
        0.275, -0.889999985695,            -6,             0, -3235.93920898, 757.904968262,          4000, -15.067899704, -1.67747831345, 0.891827106476
          0.3, -0.879999995232,            -6,             0, -3240.35864258, 768.040161133,          4000, -15.1281805038, -1.82864582539, 0.919296979904
        0.325, -0.870000004768,            -6,             0, -3243.77197266, 777.835632324,          4000, -15.1819105148, -1.97891783714, 0.944006741047
         0.35, -0.860000014305,            -6,             0, -3247.93579102, 788.208251953,          4000, -15.2422800064, -2.12913155556, 0.970336973667
        0.375, -0.850000023842,            -6,             0, -3252.11352539, 798.783630371,          4000, -15.3038282394, -2.27889966965, 0.996417462826
          0.4, -0.839999973774,            -6,             0, -3256.30273438, 809.567626953,          4000, -15.3665904999, -2.42819094658, 1.02221703529
        0.425, -0.829999983311,            -6,             0, -3260.5012207,  820.56628418,          4000, -15.4306020737, -2.57697415352, 1.04770255089
         0.45, -0.819999992847,            -6,             0, -3264.70654297, 831.785949707,          4000, -15.4959001541, -2.72521805763, 1.07283830643
        0.475, -0.810000002384,            -6,             0, -3268.91601562, 843.233154297,          4000, -15.5625228882, -2.87289166451, 1.09758603573
          0.5, -0.800000011921,            -6,             0, -3273.12646484, 854.914733887,          4000, -15.6305093765, -3.01996421814, 1.12190496922
        0.525, -0.790000021458,            -6,             0, -3277.33496094,  866.83770752,          4000, -15.6999006271, -3.16640496254, 1.14575123787
         0.55, -0.77999997139,            -6,             0, -3281.53759766, 879.009521484,          4000, -15.7707395554, -3.31218314171, 1.16907787323
        0.575, -0.769999980927,            -6,             0, -3285.73095703, 891.437805176,          4000, -15.8430719376, -3.45726799965, 1.19183468819
          0.6, -0.759999990463,            -6,             0, -3289.91064453, 904.130493164,          4000, -15.9169425964, -3.60162973404, 1.21396780014
        0.625,         -0.75,            -6,             0, -3294.07202148, 917.095825195,          4000, -15.9924001694, -3.74523758888, 1.23541939259
         0.65, -0.740000009537,            -6,             0, -3298.21044922, 930.342407227,          4000, -16.0694961548, -3.88806200027, 1.25612735748
        0.675, -0.730000019073,            -6,             0, -3302.32055664, 943.879272461,          4000, -16.1482791901, -4.03007268906, 1.27602517605
          0.7, -0.72000002861,            -6,             0, -3306.39648438, 957.715759277,          4000, -16.2288074493, -4.17124032974, 1.29504144192
        0.725, -0.709999978542,            -6,             0, -3310.43188477,  971.86151123,          4000, -16.3111362457, -4.31153488159, 1.31309938431
         0.75, -0.699999988079,            -6,             0, -3314.42016602, 986.326660156,          4000, -16.3953227997, -4.45092725754, 1.33011651039
        0.775, -0.689999997616,            -6,             0, -3318.35375977, 1001.12188721,          4000, -16.4814300537, -4.58938837051, 1.34600436687
          0.8, -0.680000007153,            -6,             0, -3322.22485352, 1016.25805664,          4000, -16.5695228577, -4.72688913345, 1.36066746712
        0.825, -0.670000016689,            -6,             0, -3326.0246582,  1031.7467041,          4000, -16.6596679688, -4.86340045929, 1.37400329113
         0.85, -0.660000026226,            -6,             0, -3329.74365234, 1047.59985352,          4000, -16.7519340515, -4.99889469147, 1.38590145111
        0.875, -0.649999976158,            -6,             0, -3333.37231445, 1063.82995605,          4000, -16.8463935852, -5.13334226608, 1.39624273777
          0.9, -0.639999985695,            -6,             0, -3336.89892578, 1080.44995117,          4000, -16.9431228638, -5.26671600342, 1.40489888191
        0.925, -0.629999995232,            -6,             0, -3340.31201172, 1097.47363281,          4000, -17.0422019958, -5.39898777008, 1.41173148155
         0.95, -0.620000004768,            -6,             0, -3343.59863281, 1114.91503906,          4000, -17.1437129974, -5.53012990952, 1.41659104824
        0.975, -0.610000014305,            -6,             0, -3346.74487305, 1132.78918457,          4000, -17.2477436066, -5.66011476517,  1.4193161726
