Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -3304.0065918, 2.96395206451,          4000, -10.6722574234,             0, -3.52820849419
        0.025, -0.990000009537,             0,             0, -3310.25463867, 3.06743955612,          4000, -10.6728601456, -0.153992563486, -3.53313541412
         0.05, -0.980000019073,             0,             0, -3316.60375977, 3.17276024818,          4000, -10.6734733582, -0.307952553034, -3.53814005852
        0.075, -0.97000002861,             0,             0, -3323.0559082, 3.27996206284,          4000, -10.6740980148, -0.461847424507, -3.5432240963
          0.1, -0.959999978542,             0,             0, -3329.61376953, 3.38909506798,          4000, -10.6747331619, -0.615644574165, -3.54838967323
        0.125, -0.949999988079,             0,             0, -3336.27954102, 3.50021100044,          4000, -10.6753797531, -0.769311547279, -3.55363798141
         0.15, -0.939999997616,             0,             0, -3343.05566406, 3.61336326599,          4000, -10.6760387421, -0.922815740108, -3.55897140503
        0.175, -0.930000007153,             0,             0, -3349.1640625, 3.72818279266,          4000, -10.6745233536, -1.07592773438, -3.56355571747
          0.2, -0.920000016689,             0,             0, -3356.49365234, 3.84575271606,          4000, -10.676117897, -1.22907495499, -3.56941223145
        0.225, -0.910000026226,             0,             0, -3363.94360352, 3.96553301811,          4000, -10.6777257919, -1.38198554516, -3.57536196709
         0.25, -0.899999976158,             0,             0, -3371.5168457, 4.08758497238,          4000, -10.6793479919, -1.53462731838, -3.58140659332
        0.275, -0.889999985695,             0,             0, -3379.21630859, 4.21197319031,          4000, -10.6809844971, -1.68696784973, -3.58754849434
          0.3, -0.879999995232,             0,             0, -3387.04467773, 4.33876276016,          4000, -10.682636261, -1.8389749527, -3.5937898159
        0.325, -0.870000004768,             0,             0, -3393.80688477, 4.46737003326,          4000, -10.6810035706, -1.99006664753, -3.59885191917
         0.35, -0.860000014305,             0,             0, -3401.56494141, 4.59898853302,          4000, -10.6817674637, -2.14110422134, -3.60493826866
