Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,           -10,             0, -1.45822799206, 5144.02001953,          6000, -60.842590332,  -15.09333992,  6.6853017807
        0.025,             0, -9.98999977112,             0, -1.46056842804, 5143.92529297,          6000, -60.8417625427, -15.0934505463, 6.55865573883
         0.05,             0, -9.97999954224,             0, -1.46291303635, 5143.82861328,          6000, -60.8409156799, -15.0935611725, 6.43175792694
        0.075,             0, -9.97000026703,             0, -1.46526181698, 5143.72900391,          6000, -60.840045929, -15.0936717987, 6.30460786819
          0.1,             0, -9.96000003815,             0, -1.46761465073, 5143.62744141,          6000, -60.8391609192, -15.0937824249, 6.17720508575
        0.125,             0, -9.94999980927,             0, -1.46997177601, 5143.52392578,          6000, -60.8382492065, -15.0938920975, 6.04954910278
         0.15,             0, -9.93999958038,             0, -1.47233307362, 5143.41748047,          6000, -60.8373222351, -15.0940027237, 5.92163991928
        0.175,             0, -9.93000030518,             0, -1.47469866276, 5143.30859375,          6000, -60.8363723755, -15.0941123962, 5.79347658157
          0.2,             0, -9.92000007629,             0, -1.47706830502, 5143.19775391,          6000, -60.8353996277, -15.0942220688, 5.66505908966
        0.225,             0, -9.90999984741,             0, -1.47944223881, 5143.08398438,          6000, -60.8344078064, -15.0943317413, 5.53638648987
         0.25,             0, -9.89999961853,             0, -1.48182046413, 5142.96826172,          6000, -60.8333969116, -15.0944404602,  5.4074587822
        0.275,             0, -9.89000034332,             0, -1.48420286179, 5142.85009766,          6000, -60.8323631287, -15.0945501328, 5.27827501297
          0.3,             0, -9.88000011444,             0, -1.48658955097, 5142.72949219,          6000, -60.8313064575, -15.0946588516, 5.14883565903
        0.325,             0, -9.86999988556,             0, -1.48898053169, 5142.60644531,          6000, -60.8302307129, -15.0947685242, 5.01913928986
         0.35,             0, -9.85999965668,             0, -1.49137580395, 5142.48046875,          6000, -60.8291320801, -15.094877243, 4.88918590546
        0.375,             0, -9.85000038147,             0, -1.49377536774, 5142.35253906,          6000, -60.8280143738, -15.0949859619, 4.75897550583
          0.4,             0, -9.84000015259,             0, -1.49617910385, 5142.22216797,          6000, -60.8268699646, -15.0950946808, 4.62850666046
        0.425,             0, -9.82999992371,             0, -1.49858725071, 5142.08886719,          6000, -60.8257064819, -15.0952033997, 4.49777984619
         0.45,             0, -9.81999969482,             0, -1.5009996891,   5141.953125,          6000, -60.8245239258, -15.0953111649, 4.36679458618
        0.475,             0, -9.81000041962,             0, -1.50341641903, 5141.81542969,          6000, -60.8233146667, -15.0954198837, 4.23554944992
          0.5,             0, -9.80000019073,             0, -1.5058375597, 5141.67480469,          6000, -60.8220863342, -15.0955276489, 4.10404539108
        0.525,             0, -9.78999996185,             0, -1.50826299191,    5141.53125,          6000, -60.8208351135, -15.0956354141, 3.97228097916
         0.55,             0, -9.77999973297,             0, -1.51069283485, 5141.38574219,          6000, -60.8195610046, -15.0957431793, 3.84025597572
        0.575,             0, -9.77000045776,             0, -1.51312696934, 5141.23730469,          6000, -60.8182640076, -15.0958509445, 3.70797038078
          0.6,             0, -9.76000022888,             0, -1.51556551456, 5141.08642578,          6000, -60.8169441223, -15.0959587097, 3.57542324066
        0.625,             0,         -9.75,             0, -1.51800847054, 5140.93261719,          6000, -60.8156013489, -15.0960655212, 3.44261455536
         0.65,             0, -9.73999977112,             0, -1.52045571804, 5140.77685547,          6000, -60.8142356873, -15.0961732864, 3.30954360962
        0.675,             0, -9.72999954224,             0, -1.5229074955, 5140.61767578,          6000, -60.8128509521, -15.096280098, 3.17620992661
          0.7,             0, -9.72000026703,             0, -1.5253636837, 5140.45654297,          6000, -60.8114395142, -15.0963869095,  3.0426132679
        0.725,             0, -9.71000003815,             0, -1.52782416344, 5140.29248047,          6000, -60.810005188, -15.096493721, 2.90875315666
         0.75,             0, -9.69999980927,             0, -1.53028917313, 5140.12548828,          6000, -60.8085441589, -15.0966005325, 2.77462935448
        0.775,             0, -9.68999958038,             0, -1.53275871277, 5139.95605469,          6000, -60.8070640564, -15.0967073441, 2.64024114609
          0.8,             0, -9.68000030518,             0, -1.53523266315, 5139.78369141,          6000, -60.805557251, -15.0968132019, 2.50558805466
        0.825,             0, -9.67000007629,             0, -1.53771102428, 5139.60888672,          6000, -60.8040313721, -15.0969200134, 2.37067008018
         0.85,             0, -9.65999984741,             0, -1.54019391537, 5139.43115234,          6000, -60.8024787903, -15.0970258713, 2.23548650742
        0.875,             0, -9.64999961853,             0, -1.54268121719, 5139.25097656,          6000, -60.8008995056, -15.0971317291, 2.10003685951
          0.9,             0, -9.64000034332,             0, -1.54517316818, 5139.06787109,          6000, -60.7993011475, -15.097237587, 1.96432077885
        0.925,             0, -9.63000011444,             0, -1.54766952991, 5138.88183594,          6000, -60.7976760864, -15.0973434448, 1.82833790779
         0.95,             0, -9.61999988556,             0, -1.5501704216, 5138.69287109,          6000, -60.7960243225, -15.0974493027, 1.69208776951
        0.975,             0, -9.60999965668,             0, -1.55267584324, 5138.50146484,          6000, -60.7943496704, -15.0975551605, 1.55557000637
            1,             0, -9.60000038147,             0, -1.55518579483, 5138.30712891,          6000, -60.7926521301, -15.0976600647, 1.41878414154
        1.025,             0, -9.59000015259,             0, -1.55770027637, 5138.10986328,          6000, -60.790927887, -15.0977649689, 1.28172981739
         1.05,             0, -9.57999992371,             0, -1.56021940708, 5137.91015625,          6000, -60.7891807556, -15.0978708267, 1.14440667629
        1.075,             0, -9.56999969482,             0, -1.56274306774, 5137.70703125,          6000, -60.7874069214, -15.0979757309,  1.0068141222
          1.1,             0, -9.56000041962,             0, -1.56527137756, 5137.50097656,          6000, -60.7856063843, -15.0980796814, 0.86895185709
        1.125,             0, -9.55000019073,             0, -1.56780421734, 5137.29248047,          6000, -60.783782959, -15.0981845856, 0.730819404125
         1.15,             0, -9.53999996185,             0, -1.57034158707, 5137.08105469,          6000, -60.7819328308, -15.0982894897, 0.592416465282
        1.175,             0, -9.52999973297,             0, -1.57288372517, 5136.86621094,          6000, -60.7800559998, -15.0983934402, 0.453742563725
          1.2,             0, -9.52000045776,             0, -1.57543039322, 5136.64892578,          6000, -60.7781562805, -15.0984983444, 0.314797282219
        1.225,             0, -9.51000022888,             0, -1.57798171043, 5136.42822266,          6000, -60.7762298584, -15.0986022949, 0.175580248237
         1.25,             0,          -9.5,             0, -1.58053767681, 5136.20507812,          6000, -60.7742767334, -15.0987062454, 0.0360910221934
