Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.00110153900459, 0.20111772418, 0.148498013616, 61.9425926208, -12.7095575333, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.0015555890277, 0.200688242912, 0.147859856486, 57.2512779236, -16.7962627411, 5092.66894531, -4.31946468353, -0.337512791157
        0.002, -0.00197033933364, 0.200509488583, 0.147635981441, 50.7998313904, -20.8272380829, 5092.58251953, -4.28283786774, -0.165733918548
        0.003, -0.00234132423066, 0.200337573886, 0.147416487336, 42.8202476501, -24.7746315002, 5092.50146484, -4.24696683884, 0.00267782993615
        0.004, -0.00266205496155, 0.200171843171, 0.147200733423, 33.5549621582, -28.6403656006, 5092.42724609, -4.21181869507, 0.167828500271
        0.005, -0.0029283692129, 0.200012236834, 0.146988540888, 23.2652416229, -32.4262695312, 5092.36035156, -4.17737531662, 0.329803586006
        0.006, -0.00313838082366, 0.199858576059, 0.146779745817, 12.2205753326, -36.1340713501, 5092.30126953, -4.14361953735, 0.488671511412
        0.007, -0.00329228839837, 0.199710547924, 0.146574229002, 0.688638150692, -39.7653923035, 5092.25048828, -4.11053514481, 0.644485890865
        0.008, -0.00339209125377, 0.199567645788, 0.146371871233, -11.0735645294, -43.3217773438, 5092.20849609, -4.07810735703, 0.797288656235
        0.009, -0.00344124226831, 0.199429228902, 0.146172553301, -22.8270244598, -46.8047027588, 5092.17480469, -4.04632282257, 0.947112619877
         0.01, -0.00344426534139, 0.199294626713, 0.145976185799, -34.356300354, -50.2155685425, 5092.15087891, -4.01516723633,  1.0939848423
        0.011, -0.00340635725297, 0.199163243175, 0.145782649517, -45.473236084, -53.5557327271, 5092.13623047, -3.98462796211, 1.23792922497
        0.012, -0.00333300139755, 0.199034675956, 0.145591884851, -56.0188217163, -56.8265151978, 5092.13134766, -3.95469236374, 1.37896859646
        0.013, -0.00322961248457, 0.198908671737, 0.145403787494, -65.8633346558, -60.0291976929, 5092.13671875, -3.9253487587, 1.51712656021
        0.014, -0.0031012413092, 0.19878514111, 0.145218297839, -74.9049530029, -63.1650505066, 5092.15185547, -3.8965857029, 1.65242862701
        0.015, -0.0029523561243, 0.198663979769, 0.145035386086, -83.0671234131, -66.2353286743, 5092.17724609, -3.86839270592, 1.78490293026
        0.016, -0.00278671993874, 0.198545083404, 0.14485502243, -90.2951660156, -69.2412567139, 5092.21240234, -3.84075975418, 1.91457986832
        0.017, -0.00260736513883, 0.198428228498, 0.144677177072, -96.5523986816, -72.1840667725,  5092.2578125, -3.81367659569, 2.04149222374
        0.018, -0.00241665844806, 0.198313087225, 0.144501835108, -101.816360474, -75.0649337769, 5092.31347656, -3.7871336937, 2.16567420959
        0.019, -0.00221643666737, 0.19819933176, 0.144328966737, -106.075462341, -77.8850326538, 5092.37792969, -3.76112103462, 2.28716135025
         0.02, -0.00200818805024, 0.198086693883, 0.144158542156, -109.326293945, -80.6454925537, 5092.45166016, -3.73562932014, 2.40598893166
        0.021, -0.00179325102363, 0.197974964976, 0.143990531564, -111.571884155,  -83.34740448, 5092.53320312, -3.71064805984, 2.52219247818
        0.022, -0.00157300557476, 0.197864100337, 0.143824890256, -112.820793152, -85.9918518066, 5092.62207031, -3.68616771698, 2.63580775261
        0.023, -0.00134903832804, 0.197754144669, 0.14366158843, -113.087104797, -88.5798873901, 5092.71728516, -3.66217851639, 2.74686956406
        0.024, -0.00112327025272, 0.197645142674, 0.143500596285, -112.391113281, -91.1125259399, 5092.81689453, -3.63867139816, 2.85541367531
        0.025, -0.000898039783351, 0.197537139058, 0.143341913819, -110.760520935, -93.5908050537, 5092.91992188, -3.6156373024, 2.96147561073
        0.026, -0.000676137045957, 0.197430074215, 0.14318549633, -108.231956482, -96.0157241821, 5093.02490234, -3.59306669235, 3.06509208679
        0.027, -0.000460788753117, 0.197323858738, 0.143031358719, -104.852554321, -98.3882980347, 5093.13037109, -3.57095074654, 3.16630172729
        0.028, -0.0002555930987, 0.197218388319, 0.142879441381, -100.68145752, -100.709518433, 5093.23486328, -3.54928064346, 3.26514482498
        0.029, -6.44059255137e-05, 0.197113588452, 0.142729744315, -95.7909317017, -102.980407715, 5093.33740234, -3.52804708481, 3.36166548729
