Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,             0,             0, -5233.20263672, 4.34694385529,          6000, -16.0203876495,             0, -5.61788845062
        0.025, -0.990000009537,             0,             0, -5243.56640625, 4.46541881561,          6000, -16.0214195251, -0.221315920353, -5.62700366974
         0.05, -0.980000019073,             0,             0, -5254.04785156, 4.58571863174,          6000, -16.0224666595, -0.442585259676, -5.63622379303
        0.075, -0.97000002861,             0,             0, -5263.78710938, 4.70528650284,          6000, -16.0211696625, -0.663674890995, -5.64462327957
          0.1, -0.959999978542,             0,             0, -5275.00830078, 4.83085584641,          6000, -16.0236225128, -0.884749591351, -5.65459537506
        0.125, -0.949999988079,             0,             0, -5286.35205078, 4.95841121674,          6000, -16.0260944366, -1.10567176342, -5.66467857361
         0.15, -0.939999997616,             0,             0, -5297.81982422, 5.08799552917,          6000, -16.028585434, -1.32639467716, -5.67487287521
        0.175, -0.930000007153,             0,             0, -5308.26025391, 5.21603250504,          6000, -16.0279502869, -1.54660379887, -5.68393802643
          0.2, -0.920000016689,             0,             0, -5319.47119141, 5.34816169739,          6000, -16.0290985107, -1.76661646366, -5.69381093979
        0.225, -0.910000026226,             0,             0, -5330.80712891, 5.48242044449,          6000, -16.0302658081, -1.98625731468, -5.70379638672
         0.25, -0.899999976158,             0,             0, -5342.26904297, 5.61885643005,          6000, -16.031452179, -2.20548009872, -5.71389532089
        0.275, -0.889999985695,             0,             0, -5353.85742188, 5.75751924515,          6000, -16.0326576233, -2.42423868179, -5.72410821915
          0.3, -0.879999995232,             0,             0, -5365.57324219, 5.89846038818,          6000, -16.0338821411, -2.6424870491, -5.73443651199
        0.325, -0.870000004768,             0,             0, -5377.41699219, 6.04173183441,          6000, -16.0351276398, -2.86017894745, -5.74488019943
         0.35, -0.860000014305,             0,             0, -5389.38867188, 6.18738746643,          6000, -16.0363922119, -3.0772690773, -5.75544023514
        0.375, -0.850000023842,             0,             0, -5401.48876953, 6.33548259735,          6000, -16.0376777649, -3.29371142387, -5.76611757278
          0.4, -0.839999973774,             0,             0, -5413.71777344, 6.48607444763,          6000, -16.0389862061, -3.50946044922, -5.77691173553
        0.425, -0.829999983311,             0,             0, -5426.07568359, 6.63922071457,          6000, -16.0403156281, -3.72447061539, -5.7878241539
         0.45, -0.819999992847,             0,             0, -5438.56152344, 6.79498147964,          6000, -16.0416679382, -3.93869709969, -5.79885435104
        0.475, -0.810000002384,             0,             0, -5451.17578125, 6.95341825485,          6000, -16.0430450439, -4.15209436417, -5.8100028038
          0.5, -0.800000011921,             0,             0, -5463.91748047, 7.11459493637,          6000, -16.0444431305, -4.36461782455, -5.82126903534
        0.525, -0.790000021458,             0,             0, -5476.78613281, 7.27857542038,          6000, -16.0458660126, -4.57622241974, -5.83265304565
         0.55, -0.77999997139,             0,             0, -5489.78027344, 7.44542646408,          6000, -16.0473155975, -4.78686380386, -5.84415435791
        0.575, -0.769999980927,             0,             0, -5502.89892578, 7.61521673203,          6000, -16.0487880707, -4.99649763107, -5.85577249527
          0.6, -0.759999990463,             0,             0, -5516.13964844, 7.78801679611,          6000, -16.0502872467, -5.20507955551, -5.86750602722
        0.625,         -0.75,             0,             0, -5529.50097656, 7.96389770508,          6000, -16.0518131256,  -5.412566185, -5.87935447693
         0.65, -0.740000009537,             0,             0, -5542.98046875, 8.14293384552,          6000, -16.0533676147, -5.61891317368, -5.89131593704
        0.675, -0.730000019073,             0,             0, -5556.57519531, 8.32520103455,          6000, -16.0549488068, -5.82407808304, -5.90338850021
          0.7, -0.72000002861,             0,             0, -5570.28222656,  8.5107755661,          6000, -16.056558609, -6.02801656723, -5.91557073593
        0.725, -0.709999978542,             0,             0, -5584.09667969, 8.69973945618,          6000, -16.0581970215, -6.23068618774, -5.92785978317
         0.75, -0.699999988079,             0,             0, -5598.01464844, 8.89217185974,          6000, -16.0598659515, -6.43204450607, -5.94025278091
        0.775, -0.689999997616,             0,             0, -5612.03173828, 9.08815670013,          6000, -16.0615653992, -6.63204908371, -5.9527463913
          0.8, -0.680000007153,             0,             0, -5626.14111328, 9.28777980804,          6000, -16.0632972717, -6.83065748215, -5.96533727646
        0.825, -0.670000016689,             0,             0, -5640.33740234, 9.49112701416,          6000, -16.0650596619, -7.02782821655, -5.97802019119
         0.85, -0.660000026226,             0,             0, -5654.61230469, 9.69828891754,          6000, -16.0668563843, -7.22351980209, -5.99079036713
        0.875, -0.649999976158,             0,             0, -5668.95751953, 9.90935516357,          6000, -16.068687439, -7.41769075394, -6.00364255905
          0.9, -0.639999985695,             0,             0, -5683.36474609, 10.1244182587,          6000, -16.0705509186, -7.61030054092, -6.01657009125
        0.925, -0.629999995232,             0,             0, -5697.82275391, 10.3435735703,          6000, -16.0724525452, -7.80130815506, -6.02956533432
         0.95, -0.620000004768,             0,             0, -5712.31982422, 10.5669164658,          6000, -16.074388504, -7.99067354202, -6.04262113571
        0.975, -0.610000014305,             0,             0,   -5726.84375, 10.7945451736,          6000, -16.0763626099, -8.17835712433, -6.05572748184
            1, -0.600000023842,             0,             0, -5741.37890625, 11.0265569687,          6000, -16.0783729553, -8.36431980133, -6.06887435913
        1.025, -0.589999973774,             0,             0, -5755.91015625, 11.2630529404,          6000, -16.0804233551, -8.54852104187, -6.08205080032
         1.05, -0.579999983311,             0,             0, -5770.41845703, 11.5041341782,          6000, -16.0825138092, -8.73092365265, -6.09524345398
        1.075, -0.569999992847,             0,             0, -5784.88427734, 11.7499027252,          6000, -16.0846443176, -8.91148853302, -6.10843896866
          1.1, -0.560000002384,             0,             0, -5799.28564453, 12.0004606247,          6000, -16.0868167877, -9.09017753601, -6.1216211319
        1.125, -0.550000011921,             0,             0, -5813.59667969, 12.2559118271,          6000, -16.0890312195, -9.26695251465, -6.13477230072
         1.15, -0.540000021458,             0,             0, -5827.79101562, 12.5163583755,          6000, -16.0912876129, -9.44177722931, -6.14787340164
        1.175, -0.52999997139,             0,             0, -5841.83691406, 12.7819023132,          6000, -16.0935897827, -9.61461448669, -6.16090297699
          1.2, -0.519999980927,             0,             0, -5855.70117188, 13.0526447296,          6000, -16.0959377289, -9.78542804718, -6.17383718491
        1.225, -0.509999990463,             0,             0, -5869.34521484, 13.3286857605,          6000, -16.0983295441, -9.95418262482, -6.18664979935
         1.25,          -0.5,             0,             0, -5882.72802734, 13.6101236343,          6000, -16.100769043, -10.1208410263, -6.19931077957
        1.275, -0.490000009537,             0,             0, -5895.80175781, 13.8970508575,          6000, -16.1032562256, -10.2853689194, -6.21178865433
