Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16095485384e-06, 0.201122447848, 0.148491621017, 7.53505128159e-06, -12.7403087616, 5092.70410156, -4.36387681961, -0.505279839039
        0.001, -0.000215806576307, 0.200756251812, 0.147785782814, -0.950665950775, -15.7432231903, 5092.69677734, -4.32017040253, -0.375876814127
        0.002, -0.000424968631705, 0.200615301728, 0.14761313796, -4.55987453461, -19.0902462006, 5092.69873047, -4.28990936279, -0.23833540082
        0.003, -0.000612286385149, 0.200469940901, 0.147423714399, -10.0712623596, -22.649848938, 5092.70068359, -4.25756025314, -0.0937316268682
        0.004, -0.000770745973568, 0.200346156955, 0.147227600217, -17.124420166,  -26.25897789,   5092.703125, -4.22465085983, 0.0516053326428
        0.005, -0.000895418110304, 0.200259953737, 0.14703220129, -25.2134933472, -29.8332519531, 5092.70605469, -4.19203662872, 0.194727316499
        0.006, -0.000984111567959, 0.200177505612, 0.146840319037, -33.7139282227, -33.3356285095, 5092.70996094, -4.16007661819, 0.334654122591
        0.007, -0.00103714037687, 0.200074613094, 0.146652117372, -42.0082702637, -36.7479286194, 5092.71533203, -4.12891197205, 0.471127539873
        0.008, -0.00105710350908, 0.199943706393, 0.146467387676, -49.5776100159, -40.0585365295, 5092.72363281, -4.09861898422, 0.604065775871
        0.009, -0.00104839901906, 0.199787303805, 0.146286100149, -56.040813446, -43.2577705383,   5092.734375, -4.06926774979, 0.73335570097
         0.01, -0.0010166260181, 0.199613004923, 0.146108582616, -61.1613845825, -46.3363380432, 5092.74853516, -4.04093408585, 0.858785927296
        0.011, -0.000967993808445, 0.199429914355, 0.145935490727, -64.8386306763,  -49.28515625,   5092.765625, -4.01370286942, 0.98004513979
        0.012, -0.000908785965294, 0.199246302247, 0.145767614245, -67.0905838013, -52.0959281921, 5092.78662109, -3.98765707016, 1.09675896168
        0.013, -0.00084491079906, 0.199068576097, 0.14560572803, -68.0319976807, -54.7622947693, 5092.81005859, -3.96286511421, 1.20855557919
        0.014, -0.000781555776484, 0.198901027441, 0.145450487733, -67.8492202759, -57.2813911438,  5092.8359375, -3.93936562538, 1.31515014172
        0.015, -0.000722968601622, 0.198746144772, 0.145302265882, -66.7594985962, -59.6543617249, 5092.86474609, -3.91716074944, 1.41640007496
        0.016, -0.000672393536661, 0.19860509038, 0.14516107738,  -65.01537323, -61.8898124695, 5092.89501953, -3.89618682861, 1.51244366169
        0.017, -0.000631928618532, 0.198478624225, 0.14502646029, -62.8757095337, -64.0042495728, 5092.92626953, -3.87630772591, 1.60374486446
        0.018, -0.000602622632869, 0.198366776109, 0.144897535443, -60.5744400024, -66.0201950073, 5092.95898438, -3.85733032227,  1.6910405159
        0.019, -0.000584618013818, 0.198269024491, 0.144773125648, -58.3092689514, -67.9638595581,  5092.9921875, -3.83902525902, 1.77525377274
         0.02, -0.000577331869863, 0.198184326291,  0.1446518749, -56.2351303101, -69.8618392944, 5093.02490234, -3.82115530968, 1.85736370087
        0.021, -0.000579647952691, 0.198111012578, 0.144532501698, -54.4631843567, -71.7379302979, 5093.05761719, -3.8035056591, 1.93827104568
        0.022, -0.000590098614339, 0.198046937585, 0.144413843751, -53.0638122559, -73.6107788086, 5093.08984375, -3.7859044075, 2.01869988441
        0.023, -0.000607025576755, 0.197989568114, 0.144295066595, -52.0718994141, -75.4929428101, 5093.12158203,  -3.768232584, 2.09915065765
        0.024, -0.000628713343758, 0.197936281562, 0.144175603986, -51.492980957, -77.3910369873, 5093.15185547, -3.75042438507, 2.17990136147
        0.025, -0.000653496361338, 0.197884395719, 0.144055128098, -51.3093719482, -79.3066482544, 5093.18115234, -3.73245930672, 2.26103854179
        0.026, -0.000679846038111, 0.197831600904, 0.143933594227, -51.4791641235, -81.2366256714, 5093.20947266, -3.71435904503, 2.34247088432
        0.027, -0.000706449500285, 0.197776317596, 0.143811136484, -51.9556159973, -83.1761856079, 5093.23681641, -3.69616270065, 2.42404103279
        0.028, -0.000732202373911, 0.197717547417, 0.143687933683, -52.6866035461, -85.1192626953, 5093.26269531, -3.67792153358, 2.50554156303
        0.029, -0.000756237423047, 0.197654694319, 0.143564298749, -53.6157798767, -87.058883667, 5093.28759766, -3.65969514847, 2.58673000336
         0.03, -0.000777929846663, 0.197587519884, 0.143440514803, -54.686340332, -88.9878768921, 5093.31201172, -3.64154672623, 2.66735506058
        0.031, -0.000796889537014, 0.197516143322, 0.143316954374, -55.8438835144, -90.8993148804, 5093.33496094, -3.62353754044, 2.74717211723
        0.032, -0.000812943500932, 0.197440996766, 0.143193945289, -57.0387954712, -92.7868728638, 5093.35742188, -3.6057240963, 2.82595896721
        0.033, -0.000826109491754, 0.197362676263, 0.14307180047, -58.2280349731, -94.6451339722, 5093.37890625, -3.58815574646, 2.90352320671
        0.034, -0.000836563878693, 0.197282001376, 0.142950803041, -59.3763580322, -96.4697113037, 5093.39990234, -3.5708732605, 2.97971057892
        0.035, -0.000844606547616, 0.197199866176, 0.142831161618, -60.4569816589, -98.2573699951, 5093.41992188, -3.55390667915, 3.05440735817
        0.036, -0.000850624404848, 0.197117239237, 0.142713069916, -61.4516677856, -100.006057739, 5093.43994141, -3.53727674484, 3.12754130363
        0.037, -0.000855055986904, 0.197035029531, 0.142596647143, -62.3503646851, -101.714813232, 5093.45898438, -3.52099394798, 3.19908022881
        0.038, -0.000858358864207, 0.196954116225, 0.142481967807, -63.1504249573, -103.38369751, 5093.47753906, -3.5050599575, 3.26902794838
        0.039, -0.000860981468577, 0.196875229478, 0.142369061708, -63.8555374146, -105.013641357, 5093.49609375, -3.48946857452, 3.33741903305
         0.04, -0.000863339868374, 0.196798980236, 0.142257899046, -64.4744720459, -106.606269836, 5093.51367188, -3.47420716286, 3.40431404114
        0.041, -0.000865799898747, 0.196725800633, 0.142148435116, -65.0197601318, -108.163726807,    5093.53125, -3.45925831795, 3.46979141235
        0.042, -0.000868665752932, 0.19665594399, 0.142040580511, -65.5063095093, -109.688484192, 5093.54833984, -3.44460105896,  3.5339422226
        0.043, -0.000872173055541, 0.196589499712, 0.141934230924, -65.9502334595, -111.183174133, 5093.56494141, -3.43021297455, 3.59686326981
        0.044, -0.000876487523783, 0.196526408195, 0.141829282045, -66.3677062988, -112.650436401, 5093.58105469, -3.41607141495, 3.65865159035
        0.045, -0.000881707412191, 0.196466490626, 0.141725584865, -66.7740707397, -114.092811584, 5093.59716797, -3.40215420723, 3.71940040588
        0.046, -0.00088786939159, 0.196409478784, 0.141623049974, -67.1831207275, -115.512580872, 5093.61328125, -3.3884408474, 3.77919507027
        0.047, -0.000894956465345, 0.196355015039, 0.141521573067, -67.6066207886, -116.911773682, 5093.62841797, -3.37491297722, 3.83811068535
        0.048, -0.000902907981072, 0.196302711964, 0.141421020031, -68.0539779663, -118.292060852, 5093.64404297, -3.36155581474,  3.8962097168
        0.049, -0.000911629875191, 0.196252182126, 0.141321331263, -68.5321578979, -119.654769897, 5093.65917969, -3.3483569622, 3.95354247093
         0.05, -0.000921005383134, 0.196203052998, 0.141222447157, -69.0456542969, -121.00088501, 5093.67431641, -3.3353073597, 4.01014709473
        0.051, -0.00093090464361, 0.196154981852, 0.141124293208, -69.5967254639, -122.331054688, 5093.68945312, -3.3224003315, 4.06604957581
        0.052, -0.000941194361076, 0.196107670665, 0.141026854515, -70.1855621338, -123.64566803, 5093.70410156, -3.30963206291, 4.12126588821
        0.053, -0.000951744848862, 0.196060866117, 0.140930086374, -70.8106842041, -124.944839478, 5093.71923828, -3.29700160027, 4.17580223083
        0.054, -0.000962436723057, 0.196014389396, 0.140834003687, -71.4692382812, -126.228515625, 5093.73486328, -3.28450846672, 4.22965955734
        0.055, -0.000973165500909, 0.195968106389, 0.140738591552, -72.1573638916, -127.496490479, 5093.75048828, -3.27215456963, 4.28283166885
        0.056, -0.000983844627626, 0.195921957493, 0.140643879771, -72.8706207275, -128.748458862, 5093.76611328, -3.25994253159, 4.33531093597
        0.057, -0.000994407222606, 0.195875912905, 0.140549853444, -73.6042251587, -129.984085083, 5093.78222656, -3.24787521362, 4.38708591461
