Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 8.36383362954e-18, -0, -8.36383362954e-18, -0, 0, 2.915109461367e-20, 0, -2.629323907209e-11, 0, -2.629323907209e-11, 0, -3.29522231126e-19, -0, 3.29522231126e-19, -0, 4705.658697437, 2654.825674813, 4705.658697437, 2654.825674813, 6, 0, 0, 0.1506696057217, -0, -0, -0, -0, -0, 0, 0, 0, 0, 0, 0, 0, 3.180543684351e-15, 0, -3.180543684351e-15, 0, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0, 0, 0, 0, 1, 120, 120, 120, 0.0008546452433101, -2.909135293117, 0.0008546452433101, -2.909135293117, 0, 0.0008546452433101, -2.909135293117, 16.66666666667, 0.0008546452433101, -2.909135293117, 0, 0, -3.195270793007e-15, 0, 3.195270793007e-15, 0, 0.8375, 0.8375, -0.8375, -0.8375, 0, 0.8375, 0.8375, 0, -0.8375, -0.8375, -0, -0, -0, -0, -0.00855730425281, 0.3164415720245, 0.3240939340492, 0, 0.3164415720245, 0.3240939340492
0.025, -0.0004739074982905, 0.0003516316058333, 0.0004739074982901, -0.0003516316058216, 4.343394171213e-15, -2.366353549426e-16, 0, -29.31258716708, -14.5852937941, -29.31258716708, -14.5852937941, 0.3789428858045, -0.2124663447407, -0.3789428858035, 0.2124663447362, 4687.875988902, 2659.398180967, 4687.875988902, 2659.398180967, 6, 0, -8.630666424672e-19, 0.1479306903471, -0, -0, -0, -0, -0, -6.90160188996e-17, 0, 0, 0, 0, 0, -6.90162489338e-17, -0.0005088163362014, 0.0003660084350312, 0.0005088163362013, -0.0003660084350315, 0.4083855488692, 0.4083983877485, 0.4083855488692, 0.4083983877485, 0.8332540307847, 0.0002919163932551, -0.0002919163932551, -6.766730679121e-16, 1, 119.9694693219, 120, 119.9690472285, 0.8340904554724, -2.075898177601, 0.8340904554724, -2.075898177601, 0.8332540307847, 0.834090455458, -2.075898177607, 17.49562170141, 0.834090455458, -2.075898177607, 3.957729660375e-17, 0, 0.0002932310706542, -0.0001586760172699, -0.0002932310706541, 0.0001586760172573, 0.8374983368497, 0.8375019144362, -0.8374983368497, -0.8375019144362, -8.630666424672e-19, 0.8375011476048, 0.8374998442162, 0, -0.8375011476048, -0.8374998442162, -0, -0, -0, -0, -0.008449549982037, 0.3165079254021, 0.3240768724525, 0, 0.3165079254021, 0.3240768724525
0.05, -0.001378658599003, 0.0008356688174713, 0.001378658599002, -0.0008356688174738, 1.120112423311e-14, -1.132851950281e-16, 0, -38.37069132815, -14.72993265374, -38.37069132817, -14.72993265375, 1.327482007885, -0.5771183524521, -1.327482007882, 0.5771183524477, 4637.892732521, 2669.242794419, 4637.892732521, 2669.242794419, 6, 0, -2.145082874998e-18, 0.140965784899, -0, -0, -0, -0, -0, -2.714477151307e-16, 0, 0, 0, 0, 0, -2.71448536691e-16, -0.001753768351762, 0.001113794910256, 0.001753768351762, -0.001113794910257, 0.8162146136118, 0.8162562314644, 0.8162146136118, 0.8162562314644, 1.666326001542, 0.0009680325636746, -0.0009680325636746, -4.112795774506e-15, 1, 119.9372171933, 120, 119.9365437467, 1.667121052131, -1.242865616549, 1.667121052131, -1.242865616549, 1.666326001542, 1.667121051967, -1.242865616602, 18.3241792997, 1.667121051967, -1.242865616602, 2.298896040805e-16, 0, 0.0009723503284455, -0.0004819223896018, -0.000972350328445, 0.0004819223896023, 0.8374942511846, 0.837505826699, -0.8374942511846, -0.837505826699, -2.145082874998e-18, 0.8375039448946, 0.8374995275569, 0, -0.8375039448946, -0.8374995275569, -0, -0, -0, -0, -0.008161675560598, 0.3166944299542, 0.3240401387656, 0, 0.3166944299542, 0.3240401387656
0.075, -0.002943221327514, 0.001312152831684, 0.0029432213275, -0.001312152831675, 1.618612235988e-14, -1.448122437794e-16, 0, -47.49093280317, -14.36834742041, -47.49093280317, -14.36834742041, 3.156318930417, -1.032969519263, -3.156318930416, 1.03296951926, 4583.733848128, 2672.195275897, 4583.733848128, 2672.195275897, 6, 0, -2.813488531074e-18, 0.1321701752759, -0, -0, -0, -0, -0, -5.553364909551e-16, 0, 0, 0, 0, 0, -5.553379685278e-16, -0.004124109363432, 0.002165991551676, 0.004124109363431, -0.002165991551677, 1.223900692823, 1.22400696315, 1.223900692823, 1.22400696315, 2.499186456, 0.002255027545027, -0.002255027545015, -1.027911870007e-14, 1, 119.903853874, 120, 119.9031575622, 2.499928473122, -0.4100546941556, 2.499928473122, -0.4100546941556, 2.499186456, 2.49992847222, -0.4100546943557, 19.15240278409, 2.49992847222, -0.4100546943557, 5.658031866444e-16, 0, 0.002264547076811, -0.0009357252880175, -0.002264547076798, 0.0009357252880059, 0.8374863983363, 0.837511330648, -0.8374863983363, -0.837511330648, -2.813488531074e-18, 0.8375092083216, 0.8374990811535, 0, -0.8375092083216, -0.8374990811535, -0, -0, -0, -0, -0.007766876659651, 0.3168965146711, 0.3240291218733, 0, 0.3168965146711, 0.3240291218733
0.1, -0.004987716452115, 0.001426230065927, 0.004987716452125, -0.001426230065919, 1.961115501966e-14, -4.378529560686e-17, 0, -52.87784922152, -14.05108762477, -52.87784922152, -14.05108762477, 5.82433318317, -1.274554319916, -5.824333183169, 1.274554319914, 4545.593694352, 2664.188754432, 4545.593694352, 2664.188754432, 6, 0, -2.745929282868e-18, 0.1239648038973, -0, -0, -0, -0, -0, -9.039544594516e-16, 0, 0, 0, 0, 0, -9.03956575224e-16, -0.007504602031904, 0.002945419516294, 0.007504602031902, -0.002945419516296, 1.631443685816, 1.631643641917, 1.631443685816, 1.631643641917, 3.331806922868, 0.004094008391633, -0.004094008391646, -1.86517467036e-14, 1, 119.8696580459, 120, 119.8691015702, 3.332498315815, 0.4225193510611, 3.332498315815, 0.4225193510611, 3.331806922868, 3.332498312836, 0.4225193506917, 19.98029325206, 3.332498312836, 0.4225193506917, 1.0185513342e-15, 0, 0.004110254911164, -0.001270400321115, -0.004110254911174, 0.001270400321104, 0.8374750483612, 0.8375154114273, -0.8374750483612, -0.8375154114273, -2.745929282868e-18, 0.8375165741114, 0.8374987524395, 0, -0.8375165741114, -0.8374987524395, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.007350467274519, 0.3170388267792, 0.3240589967568, 0, 0.3170388267792, 0.3240589967568
0.125, -0.007202380488267, 0.001066121762207, 0.007202380488277, -0.001066121762213, 2.110789096412e-14, -4.392256935209e-17, 0, -53.87802949615, -13.89419480413, -53.87802949615, -13.89419480413, 8.983060775049, -1.111486561347, -8.983060775047, 1.111486561345, 4529.614631801, 2650.646211904, 4529.614631801, 2650.646211904, 6, 0, -1.944683877456e-18, 0.1175980592309, -0, -0, -0, -0, -0, -1.277701143398e-15, 0, 0, 0, 0, 0, -1.277703834655e-15, -0.01141203038391, 0.002910755495614, 0.01141203038391, -0.002910755495617, 2.038854629904, 2.039161146391, 2.038854629904, 2.039161146391, 4.164172214863, 0.006227174473738, -0.00622717447375, -2.83043159528e-14, 1, 119.8351245943, 120, 119.8347472784, 4.164823047703, 1.254847818034, 4.164823047703, 1.254847818034, 4.164172214863, 4.164823040813, 1.254847817674, 20.80788711464, 4.164823040813, 1.254847817674, 1.53802135306e-15, 0, 0.006250610511243, -0.001253445365026, -0.006250610511253, 0.001253445365029, 0.8374617245189, 0.8375152398238, -0.8374617245189, -0.8375152398238, -1.944683877456e-18, 0.8375248833966, 0.837498774325, 0, -0.8375248833966, -0.837498774325, -0, -0, -0, -0, -0.006975147442732, 0.3170984465765, 0.3241095286418, 0, 0.3170984465765, 0.3241095286418
0.15, -0.009310929846893, 0.0004148873063597, 0.009310929846889, -0.0004148873063546, 2.14241400063e-14, 3.916783681892e-17, 0, -51.19366756215, -13.91133182397, -51.19366756215, -13.91133182397, 12.20579213922, -0.6154196044284, -12.20579213922, 0.6154196044291, 4531.550042355, 2640.034034608, 4531.550042355, 2640.034034608, 6, 0, -5.714314080409e-19, 0.1130227688775, -0, -0, -0, -0, -0, -1.628960885905e-15, 0, 0, 0, 0, 0, -1.628964055239e-15, -0.01531666562779, 0.002007383082142, 0.01531666562779, -0.002007383082145, 2.446148122284, 2.446558168311, 2.446148122284, 2.446558168311, 4.996282058417, 0.008367600716607, -0.008367600716607, -3.840294272719e-14, 1, 119.8007251907, 120, 119.8004738209, 4.996902678113, 2.086930070862, 4.996902678113, 2.086930070862, 4.996282058417, 4.996902665689, 2.086930070691, 21.63523675577, 4.996902665689, 2.086930070691, 2.079652808237e-15, 0, 0.008397830988816, -0.000862674356183, -0.008397830988812, 0.0008626743561744, 0.8374482027164, 0.8375105218815, -0.8374482027164, -0.8375105218815, -5.714314080409e-19, 0.8375329695229, 0.8374991651729, 0, -0.8375329695229, -0.8374991651729, -0, -0, -0, -0, -0.006668103469119, 0.317091219855, 0.3241491265376, 0, 0.317091219855, 0.3241491265376
0.175, -0.01115467779946, -0.0002150450129723, 0.01115467779946, 0.0002150450129767, 2.407057935342e-14, 1.900269189624e-16, 0, -46.00860252917, -14.05459712632, -46.00860252917, -14.05459712632, 15.15185907383, -0.03072833458154, -15.15185907382, 0.03072833458174, 4542.872942262, 2637.312504628, 4542.872942262, 2637.312504628, 6, 0, 2.584912971389e-18, 0.1095019063454, -0, -0, -0, -0, -0, -1.930190467424e-15, 0, 0, 0, 0, 0, -1.930193992504e-15, -0.01884861272369, 0.0006647635605171, 0.01884861272369, -0.0006647635605209, 2.853337531201, 2.853836444705, 2.853337531201, 2.853836444705, 5.828145175765, 0.01031137000408, -0.01031137000408, -4.910213455477e-14, 1, 119.7668144837, 120, 119.7666092723, 5.828742110284, 2.91877113107, 5.828742110284, 2.91877113107, 5.828145175765, 5.828742091448, 2.918771131052, 22.46239646359, 5.828742091448, 2.918771131052, 2.647631716477e-15, 0, 0.01034741176079, -0.0002837566778107, -0.01034741176078, 0.0002837566778033, 0.8374357980929, 0.8375034943707, -0.8374357980929, -0.8375034943707, 2.584912971389e-18, 0.8375400978042, 0.8374997333733, 0, -0.8375400978042, -0.8374997333733, -0, -0, -0, -0, -0.006427120978932, 0.317048964403, 0.3241592816773, 0, 0.317048964403, 0.3241592816773
0.2, -0.01269881337335, -0.0005891991646852, 0.01269881337336, 0.0005891991646889, 2.438500943224e-14, 2.05776744344e-16, 0, -39.57766788024, -14.25395071261, -39.57766788026, -14.25395071261, 17.6413083929, 0.4030015550958, -17.6413083929, -0.4030015550946, 4555.760493905, 2641.849383276, 4555.760493905, 2641.849383276, 6, 0, 1.436780981597e-17, 0.1062922573765, -0, -0, -0, -0, -0, -1.484495103376e-15, 0, 0, 0, 0, 0, -1.484497657885e-15, -0.02185868067093, -0.0005359959411631, 0.02185868067093, 0.0005359959411607, 3.260432506634, 3.260999187392, 3.260432506634, 3.260999187392, 6.659772320956, 0.01197359576889, -0.01197359576891, -6.101862644954e-14, 1, 119.7336052196, 120, 119.7333902958, 6.660348004062, 3.750378216231, 6.660348004062, 3.750378216231, 6.659772320956, 6.660347978703, 3.750378216218, 23.28940986204, 6.660347978703, 3.750378216218, 3.251741300745e-15, 0, 0.01201416754898, 0.0002330251093062, -0.01201416754898, -0.0002330251093124, 0.8374250950072, 0.8374971994899, -0.8374250950072, -0.8374971994899, 1.436780981597e-17, 0.8375460327281, 0.8375002318072, 0, -0.8375460327281, -0.8375002318072, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -0.00623461139331, 0.3170008706102, 0.3241423530333, 0, 0.3170008706102, 0.3241423530333
0.225, -0.01399141369781, -0.0006494066560972, 0.01399141369781, 0.0006494066560999, 2.086145342934e-14, 2.070935286922e-16, 0, -31.80379934393, -14.46160526527, -31.80379934393, -14.46160526527, 19.63372227755, 0.5721757888228, -19.63372227755, -0.5721757888196, 4565.492772914, 2649.532225378, 4565.492772914, 2649.532225378, 6, 0, 2.581977090973e-17, 0.1030007652888, -0, -0, -0, -0, -0, -1.085229738885e-15, 0, 0, 0, 0, 0, -1.085231492474e-15, -0.02437547112173, -0.001205381102332, 0.02437547112173, 0.00120538110233, 3.667439267797, 3.668049790191, 3.667439267797, 3.668049790191, 7.491172202755, 0.01336701995502, -0.01336701995503, -7.222681044672e-14, 1, 119.7012058626, 120, 119.7009633939, 7.491726819605, 4.581758265588, 7.491726819605, 4.581758265588, 7.491172202755, 7.491726788043, 4.581758265526, 24.11630600747, 7.491726788043, 4.581758265526, 3.81864842116e-15, 0, 0.01341086144808, 0.0005202738698205, -0.01341086144808, -0.0005202738698256, 0.8374160468279, 0.8374936853057, -0.8374160468279, -0.8374936853057, 2.581977090973e-17, 0.8375508937672, 0.837500503967, 0, -0.8375508937672, -0.837500503967, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.006070317941464, 0.3169645505214, 0.3241136856545, 0, 0.3169645505214, 0.3241136856545
