Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.00110153900459, 0.20111772418, 0.148498013616, 61.9425926208, -12.7095575333, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.00152677076403, 0.200687602162, 0.147859841585, 57.2516441345, -16.7962875366, 5092.67675781, -4.31947088242, -0.337513208389
        0.002, -0.00192341941874, 0.200508788228, 0.147635936737,  50.922832489, -20.8271007538, 5092.58642578, -4.2828412056, -0.165745124221
        0.003, -0.00228898925707, 0.200337037444, 0.147416397929, 43.1385421753, -24.774225235, 5092.50097656,  -4.246966362, 0.00264548161067
        0.004, -0.00261823646724, 0.200171679258, 0.147200614214, 34.0845108032, -28.6396503448, 5092.42138672, -4.21181535721, 0.167768537998
        0.005, -0.00290671549737, 0.20001244545, 0.146988406777, 23.9620380402, -32.4252815247, 5092.34912109, -4.17736959457, 0.329716563225
        0.006, -0.00315084238537, 0.199859008193, 0.14677965641, 12.9840011597, -36.1329231262, 5092.28564453, -4.1436123848, 0.48856690526
        0.007, -0.00334792584181, 0.199711024761, 0.146574229002, 1.37078142166, -39.7642745972, 5092.23193359, -4.11052799225, 0.644382894039
        0.008, -0.00349618284963, 0.199568092823, 0.146371975541, -10.6538381577, -43.3209457397, 5092.18896484, -4.07810163498, 0.797215163708
        0.009, -0.00359474029392, 0.199429810047, 0.146172791719, -22.8666858673, -46.8044548035, 5092.15771484, -4.0463180542, 0.947103559971
         0.01, -0.0036436188966, 0.199295759201, 0.145976573229, -35.049079895, -50.2162246704, 5092.13867188, -4.01516437531, 1.09407901764
        0.011, -0.00364370364696, 0.199165508151, 0.145783215761, -46.9905090332, -53.5576286316, 5092.13134766, -3.98462700844, 1.23816561699
        0.012, -0.00359670189209, 0.199038624763, 0.145592659712, -58.4920387268,  -56.82995224, 5092.13671875, -3.95469403267, 1.37938261032
        0.013, -0.00350508606061, 0.198914706707, 0.145404785872, -69.369392395, -60.0344352722, 5092.15429688, -3.92535376549, 1.51774644852
        0.014, -0.00337202637456, 0.19879335165, 0.145219549537, -79.4557037354, -63.1722717285, 5092.18408203, -3.8965947628, 1.65327203274
        0.015, -0.00320131424814, 0.198674187064, 0.145036891103, -88.603843689, -66.2446136475, 5092.22558594, -3.86840581894, 1.78597402573
        0.016, -0.00299727730453, 0.198556855321, 0.144856736064, -96.688293457, -69.252571106, 5092.27783203, -3.8407766819, 1.91586828232
        0.017, -0.00276468577795, 0.198441043496, 0.144679054618, -103.606651306, -72.1972427368, 5092.34033203, -3.81369686127,  2.0429725647
        0.018, -0.0025086577516, 0.198326468468, 0.144503802061, -109.280609131, -75.0796966553, 5092.41210938, -3.78715658188, 2.16730666161
        0.019, -0.00223455857486, 0.198212906718, 0.14433093369, -113.656532288, -77.9010009766, 5092.49169922, -3.76114606857, 2.28889346123
         0.02, -0.0019479006296, 0.198100149632, 0.144160434604, -116.705558777, -80.6621932983, 5092.57861328, -3.73565554619, 2.40775823593
        0.021, -0.00165424274746, 0.197988033295,   0.143992275, -118.423286438, -83.3643188477, 5092.67138672, -3.71067595482, 2.52392983437
        0.022, -0.00135909265373, 0.197876438498, 0.143826439977, -118.829071045, -86.0084381104, 5092.76904297, -3.6861975193, 2.63744044304
        0.023, -0.00106781243812, 0.197765320539, 0.143662914634, -117.964912415, -88.5955886841, 5092.86914062, -3.66221141815, 2.74832463264
        0.024, -0.000785529962741, 0.197654634714, 0.143501669168, -115.894012451, -91.1268310547, 5092.97167969, -3.63870835304, 2.85662126541
