Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -2,             0, -3292.47631836,  246.46522522,          4000, -12.0893735886,             0, -2.02514791489
        0.025, -0.990000009537,            -2,             0, -3298.47241211, 250.011123657,          4000, -12.1100101471, -0.153895512223, -2.01707553864
         0.05, -0.980000019073,            -2,             0, -3304.56152344, 253.621612549,          4000, -12.131023407, -0.307758510113, -2.00910162926
        0.075, -0.97000002861,            -2,             0, -3310.74560547, 257.298461914,          4000, -12.1524219513, -0.461556494236, -2.00123620033
          0.1, -0.959999978542,            -2,             0, -3317.02661133, 261.043457031,          4000, -12.1742172241, -0.61525696516, -1.99349045753
        0.125, -0.949999988079,            -2,             0, -3323.40649414, 264.858520508,          4000, -12.1964197159, -0.768827497959, -1.98587620258
         0.15, -0.939999997616,            -2,             0, -3329.88769531, 268.745605469,          4000, -12.2190418243, -0.922235548496, -1.97840571404
        0.175, -0.930000007153,            -2,             0, -3335.69921875, 272.584960938,          4000, -12.2388811111, -1.07525157928, -1.97110629082
          0.2, -0.920000016689,            -2,             0, -3342.70947266, 276.672210693,          4000, -12.2637071609, -1.22830319405, -1.9639582634
        0.225, -0.910000026226,            -2,             0, -3349.82958984, 280.838897705,          4000, -12.2889995575, -1.38111877441, -1.95699810982
         0.25, -0.899999976158,            -2,             0, -3357.06152344, 285.087310791,          4000, -12.3147735596, -1.53366589546, -1.95024240017
        0.275, -0.889999985695,            -2,             0, -3364.40795898, 289.419830322,          4000, -12.3410425186, -1.68591248989, -1.94370877743
          0.3, -0.879999995232,            -2,             0, -3371.87109375,  293.83895874,          4000, -12.3678207397, -1.83782625198, -1.93741619587
        0.325, -0.870000004768,            -2,             0, -3378.27392578, 298.152496338,          4000, -12.3901777267, -1.98882675171, -1.93138837814
         0.35, -0.860000014305,            -2,             0, -3385.64575195, 302.695770264,          4000, -12.4166173935, -2.13977265358, -1.92563533783
        0.375, -0.850000023842,            -2,             0, -3393.13964844, 307.332397461,          4000, -12.4435997009, -2.29026651382, -1.92018520832
          0.4, -0.839999973774,            -2,             0, -3400.75830078,   312.0652771,          4000, -12.4711418152, -2.44027614594, -1.9150621891
        0.425, -0.829999983311,            -2,             0, -3408.50439453, 316.897369385,          4000, -12.4992618561, -2.5897705555, -1.9102922678
         0.45, -0.819999992847,            -2,             0, -3416.38061523, 321.831787109,          4000, -12.5279769897,  -2.738717556, -1.90590322018
        0.475, -0.810000002384,            -2,             0, -3424.38964844, 326.871734619,          4000, -12.557305336, -2.88708567619, -1.90192484856
          0.5, -0.800000011921,            -2,             0, -3432.53417969, 332.020599365,          4000, -12.5872688293, -3.03484392166, -1.89838898182
        0.525, -0.790000021458,            -2,             0, -3440.81689453, 337.281890869,          4000, -12.6178855896, -3.18196105957, -1.89532983303
         0.55, -0.77999997139,            -2,             0, -3449.24072266, 342.659240723,          4000, -12.6491775513, -3.32840561867, -1.89278411865
        0.575, -0.769999980927,            -2,             0, -3457.80810547, 348.156494141,          4000, -12.6811666489, -3.47414708138, -1.89079105854
          0.6, -0.759999990463,            -2,             0, -3466.52246094, 353.777618408,          4000, -12.7138767242, -3.61915421486, -1.88939285278
        0.625,         -0.75,            -2,             0, -3475.38623047, 359.526733398,          4000, -12.7473325729, -3.76339673996, -1.8886346817
         0.65, -0.740000009537,            -2,             0, -3484.40234375, 365.408233643,          4000, -12.7815580368, -3.9068441391, -1.8885654211
        0.675, -0.730000019073,            -2,             0, -3493.57348633, 371.426605225,          4000, -12.8165798187, -4.04946565628, -1.88923704624
          0.7, -0.72000002861,            -2,             0, -3502.90283203, 377.586608887,          4000, -12.8524255753, -4.19123220444, -1.89070606232
        0.725, -0.709999978542,            -2,             0, -3512.39257812, 383.893188477,          4000, -12.8891239166, -4.33211231232, -1.89303267002
         0.75, -0.699999988079,            -2,             0, -3522.04614258, 390.351531982,          4000, -12.9267053604, -4.47207784653, -1.89628219604
        0.775, -0.689999997616,            -2,             0, -3531.86572266, 396.967041016,          4000, -12.9652013779, -4.61109781265, -1.90052461624
          0.8, -0.680000007153,            -2,             0, -3541.85400391, 403.745391846,          4000, -13.0046453476, -4.74914360046, -1.90583574772
        0.825, -0.670000016689,            -2,             0, -3552.01342773, 410.692565918,          4000, -13.0450716019, -4.88618564606, -1.91229689121
         0.85, -0.660000026226,            -2,             0, -3562.34667969, 417.814727783,          4000, -13.0865154266, -5.02219581604, -1.91999638081
        0.875, -0.649999976158,            -2,             0, -3572.85571289, 425.118469238,          4000, -13.1290159225, -5.15714406967, -1.92902898788
          0.9, -0.639999985695,            -2,             0, -3583.54248047, 432.610595703,          4000, -13.1726131439, -5.29100322723, -1.93949770927
        0.925, -0.629999995232,            -2,             0, -3594.40917969, 440.298339844,          4000, -13.2173480988, -5.42374420166, -1.95151364803
         0.95, -0.620000004768,            -2,             0, -3605.45703125, 448.189239502,          4000, -13.2632656097, -5.55533885956, -1.96519732475
        0.975, -0.610000014305,            -2,             0, -3616.68725586, 456.291168213,          4000, -13.3104104996, -5.68575954437, -1.98067903519
            1, -0.600000023842,            -2,             0, -3628.10107422, 464.612548828,          4000, -13.358833313, -5.81497907639, -1.99810039997
        1.025, -0.589999973774,            -2,             0, -3639.69873047,  473.16204834,          4000, -13.4085826874, -5.94296979904, -2.01761507988
         1.05, -0.579999983311,            -2,             0, -3651.48046875, 481.948974609,          4000, -13.4597139359, -6.06970500946, -2.03938961029
        1.075, -0.569999992847,            -2,             0, -3663.4453125, 490.982940674,          4000, -13.5122823715, -6.19515705109, -2.06360578537
          1.1, -0.560000002384,            -2,             0, -3675.5925293, 500.274230957,          4000, -13.5663490295, -6.31930065155, -2.09046077728
        1.125, -0.550000011921,            -2,             0, -3687.91967773, 509.833587646,          4000, -13.6219749451, -6.44210863113, -2.12017035484
         1.15, -0.540000021458,            -2,             0, -3700.42431641, 519.672302246,          4000, -13.6792268753, -6.56355524063, -2.15296912193
        1.175, -0.52999997139,            -2,             0, -3713.10253906, 529.802429199,          4000, -13.7381734848, -6.68361520767, -2.18911361694
          1.2, -0.519999980927,            -2,             0, -3725.94921875,  540.23651123,          4000, -13.7988901138, -6.80226278305, -2.22888422012
        1.225, -0.509999990463,            -2,             0, -3738.95800781, 550.987854004,          4000, -13.8614521027, -6.9194726944, -2.27258777618
         1.25,          -0.5,            -2,             0, -3752.12109375, 562.070556641,          4000, -13.9259433746, -7.03522062302,  -2.320561409
