Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,             0,             0,            -5, 97.6340789795, 199.466094971,          2000, 53.1780815125, -5.63493108749, 8.95370292664
        0.025,             0,             0, -4.98999977112, 97.6340789795, 199.205825806,          2000, 53.0606842041, -5.63493299484, 8.93733024597
         0.05,             0,             0, -4.98000001907, 97.6340789795, 198.945541382,          2000, 52.9432868958, -5.63493490219, 8.92095661163
        0.075,             0,             0, -4.96999979019, 97.6340789795, 198.685272217,          2000, 52.8258895874, -5.63493680954, 8.90458297729
          0.1,             0,             0, -4.96000003815, 97.6340713501, 198.424987793,          2000, 52.7084884644, -5.63493824005, 8.88820934296
        0.125,             0,             0, -4.94999980927, 97.6340713501,  198.16468811,          2000,  52.591091156, -5.6349401474, 8.87183570862
         0.15,             0,             0, -4.94000005722, 97.6340713501, 197.904403687,          2000,  52.473690033, -5.63494205475, 8.85546207428
        0.175,             0,             0, -4.92999982834, 97.6340713501, 197.644104004,          2000, 52.3562927246, -5.6349439621, 8.83908843994
          0.2,             0,             0, -4.92000007629, 97.6340713501, 197.383804321,          2000, 52.2388954163, -5.63494586945, 8.82271385193
        0.225,             0,             0, -4.90999984741, 97.6340713501,  197.12348938,          2000, 52.1214942932, -5.63494729996, 8.80633926392
         0.25,             0,             0, -4.90000009537, 97.6340713501, 196.863174438,          2000, 52.0040931702, -5.63494920731,  8.7899646759
        0.275,             0,             0, -4.88999986649, 97.6340713501, 196.602859497,          2000, 51.8866958618, -5.63495111465, 8.77359008789
          0.3,             0,             0, -4.88000011444, 97.6340713501, 196.342544556,          2000, 51.7692947388, -5.63495254517, 8.75721549988
        0.325,             0,             0, -4.86999988556, 97.6340713501, 196.082214355,          2000, 51.6518974304, -5.63495445251, 8.74084091187
         0.35,             0,             0, -4.86000013351, 97.6340713501, 195.821884155,          2000, 51.5344963074, -5.63495635986, 8.72446537018
        0.375,             0,             0, -4.84999990463, 97.6340713501, 195.561553955,          2000, 51.4170951843, -5.63495779037, 8.70808982849
          0.4,             0,             0, -4.84000015259, 97.6340713501, 195.301208496,          2000, 51.2996940613, -5.63495969772, 8.69171524048
        0.425,             0,             0, -4.82999992371, 97.6340713501, 195.040863037,          2000, 51.1822967529, -5.63496160507, 8.67533969879
         0.45,             0,             0, -4.82000017166, 97.6340713501, 194.780517578,          2000, 51.0648956299, -5.63496303558,  8.6589641571
        0.475,             0,             0, -4.80999994278, 97.6340713501,  194.52015686,          2000, 50.9474945068, -5.63496494293, 8.64258766174
          0.5,             0,             0, -4.80000019073, 97.6340713501, 194.259796143,          2000, 50.8300933838, -5.63496685028, 8.62621212006
        0.525,             0,             0, -4.78999996185, 97.6340713501, 193.999435425,          2000, 50.7126922607, -5.63496828079, 8.60983657837
         0.55,             0,             0, -4.78000020981, 97.6340713501, 193.739059448,          2000, 50.5952911377, -5.63497018814, 8.59346008301
        0.575,             0,             0, -4.76999998093, 97.6340713501,  193.47869873,          2000, 50.4778900146, -5.63497161865, 8.57708358765
          0.6,             0,             0, -4.76000022888, 97.6340637207, 193.218307495,          2000, 50.3604888916,  -5.634973526, 8.56070709229
        0.625,             0,             0,         -4.75, 97.6340637207, 192.957931519,          2000, 50.2430877686, -5.63497543335, 8.54433059692
         0.65,             0,             0, -4.73999977112, 97.6340637207, 192.697540283,          2000, 50.1256866455, -5.63497686386, 8.52795410156
