Time,Station,VxTarget
            0,          -160,            80
          0.2, -155.557739258, 77.5359268188
          0.4, -151.130523682, 76.1061096191
          0.6, -146.755325317, 75.0018005371
          0.8, -142.446792603, 73.8983306885
            1, -138.207809448, 72.7964248657
          1.2, -134.039321899, 71.6963882446
          1.4, -129.941864014, 70.5984039307
          1.6, -125.915718079, 69.5026245117
          1.8, -121.961051941, 68.4092102051
            2, -118.077949524, 67.3183059692
          2.2, -114.266441345, 66.2300720215
          2.4, -110.526451111, 65.1446838379
          2.6, -106.85785675, 64.0623245239
          2.8, -103.260429382,  62.983215332
            3, -99.733833313, 61.9075927734
          3.2, -96.2776107788, 60.8339271545
          3.4, -92.8912811279, 59.7618026733
          3.6, -89.5806274414,  58.695148468
          3.8, -86.3458938599, 57.6347198486
            4, -83.1447677612,  56.566986084
          4.2, -79.9606399536, 55.4861221313
          4.4, -76.8018188477,  54.387298584
          4.6, -73.6794509888,  53.279838562
          4.8, -70.6044769287, 52.1680450439
            5, -67.5857772827, 51.0557022095
          5.2, -64.6295776367, 49.9387512207
          5.4, -61.7398376465, 48.8201217651
          5.6, -58.9189720154, 47.7067565918
          5.8, -56.1684036255, 46.5990066528
            6, -53.4889831543, 45.4836196899
          6.2, -50.8812179565, 44.3776473999
          6.4, -48.3453636169, 43.2788162231
          6.6, -45.8814926147, 42.1727104187
          6.8, -43.4909973145, 41.0829467773
            7, -41.1857528687, 39.9945716858
          7.2, -38.9570617676, 38.9175415039
          7.4, -36.7951431274, 37.8454284668
          7.6, -34.7003555298, 36.7705039978
          7.8, -32.6721038818, 35.7083358765
            8, -30.7096157074,  34.637966156
          8.2, -28.8120517731,   33.58152771
          8.4, -26.9584884644, 32.5076904297
          8.6, -25.1198806763, 31.4101161957
          8.8, -23.3033237457, 30.2905540466
            9, -21.5201759338, 29.1361217499
          9.2, -19.7826519012, 27.9968967438
          9.4, -18.1076698303,  26.802066803
          9.6, -16.5190067291, 25.6688117981
          9.8, -14.9935979843, 24.4886684418
           10, -13.5282230377, 23.3093852997
         10.2, -12.129907608, 22.1840705872
         10.4, -10.8010597229, 20.9475097656
         10.6, -9.5439748764,  19.760597229
         10.8, -8.36054134369, 18.6432228088
           11, -7.2774772644, 17.4368095398
         11.2, -6.31744098663, 16.2861366272
         11.4, -5.41638040543, 15.2061491013
         11.6, -4.56841659546, 14.1898031235
         11.8, -3.77905440331, 13.2789402008
           12, -3.03885865211, 12.5098390579
         12.2, -2.33429932594,  11.777765274
         12.4, -1.63546741009, 11.0516433716
         12.6, -0.948570549488, 10.3379220963
         12.8, -0.279601693153, 9.64282894135
           13, 0.373286247253, 9.65499591827
         13.2, 1.00888705254, 10.1703863144
         13.4, 1.64083814621, 10.6828174591
         13.6, 2.34463143349, 11.2535037994
         13.8, 3.12082004547, 11.8828935623
           14, 3.92568802834, 12.5355377197
         14.2, 4.70672130585, 13.3303003311
         14.4, 5.50300741196, 14.1578922272
         14.6, 6.33050584793, 15.0179224014
         14.8, 7.19430303574,  15.915678978
           15, 8.10062122345, 16.8364086151
         15.2,  9.0563249588, 17.6281414032
         15.4, 10.0471258163, 18.4489517212
         15.6, 11.0924940109, 19.3149662018
         15.8, 12.1775426865, 20.1927928925
           16, 13.3204488754, 21.0040416718
         16.2, 14.4987211227, 21.8403949738
         16.4, 15.7349271774, 22.7178707123
         16.6,  17.010974884, 23.5439987183
         16.8, 18.3411979675,  24.383436203
           17, 19.7114696503, 25.2481479645
         17.2, 21.1370773315, 26.0827178955
         17.4, 22.6275691986, 26.9380130768
         17.6, 24.1567974091,  27.808637619
