Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
            0,            -1,            -8,             0, -3107.34130859, 815.684265137,          4000, -15.4022026062,             0, 1.71075725555
        0.025, -0.990000009537,            -8,             0, -3109.52026367, 825.039123535,          4000, -15.4566507339, -0.152442544699, 1.74694764614
         0.05, -0.980000019073,            -8,             0, -3111.68066406, 834.551635742,          4000, -15.5120162964, -0.304853469133, 1.78333187103
        0.075, -0.97000002861,            -8,             0, -3113.8203125, 844.225769043,          4000, -15.5683221817, -0.457201182842,  1.8199044466
          0.1, -0.959999978542,            -8,             0, -3115.93701172, 854.065612793,          4000, -15.6255931854, -0.609454035759, 1.85665977001
        0.125, -0.949999988079,            -8,             0, -3118.02807617, 864.075256348,          4000, -15.6838521957, -0.761580467224, 1.89359128475
         0.15, -0.939999997616,            -8,             0, -3120.09130859, 874.259094238,          4000, -15.7431249619, -0.913548946381, 1.93069207668
        0.175, -0.930000007153,            -8,             0, -3121.47900391, 884.200134277,          4000, -15.7976694107, -1.06512737274, 1.96543371677
          0.2, -0.920000016689,            -8,             0, -3123.73730469, 894.912841797,          4000, -15.8613433838, -1.21674883366, 2.00385332108
        0.225, -0.910000026226,            -8,             0, -3125.95800781, 905.816833496,          4000, -15.9261426926, -1.36814081669, 2.04243063927
         0.25, -0.899999976158,            -8,             0, -3128.13818359, 916.917175293,          4000, -15.9920959473, -1.5192719698,  2.0811560154
        0.275, -0.889999985695,            -8,             0, -3130.27392578, 928.218933105,          4000, -16.0592346191, -1.67011106014, 2.12001824379
          0.3, -0.879999995232,            -8,             0, -3132.36132812, 939.727539062,          4000, -16.1275901794, -1.82062649727, 2.15900659561
        0.325, -0.870000004768,            -8,             0, -3133.49389648, 950.817810059,          4000, -16.1887149811, -1.97026205063, 2.19441390038
         0.35, -0.860000014305,            -8,             0, -3135.2175293, 962.569213867,          4000, -16.2571105957, -2.11983585358, 2.23253512383
        0.375, -0.850000023842,            -8,             0, -3136.88134766, 974.540893555,          4000, -16.3267879486, -2.26896977425, 2.27072930336
          0.4, -0.839999973774,            -8,             0, -3138.48022461, 986.738891602,          4000, -16.3977832794, -2.41763281822, 2.30898094177
        0.425, -0.829999983311,            -8,             0, -3140.00927734, 999.169555664,          4000, -16.4701309204, -2.56579470634, 2.34727311134
         0.45, -0.819999992847,            -8,             0, -3141.46289062, 1011.83929443,          4000, -16.5438728333, -2.71342396736, 2.38558793068
        0.475, -0.810000002384,            -8,             0, -3142.8359375, 1024.75488281,          4000, -16.6190433502, -2.86049032211, 2.42390561104
          0.5, -0.800000011921,            -8,             0, -3144.12182617, 1037.92321777,          4000, -16.6956863403, -3.00696349144,    2.46220541
        0.525, -0.790000021458,            -8,             0, -3145.31469727,  1051.3515625,          4000, -16.7738437653, -3.15281248093, 2.50046396255
         0.55, -0.77999997139,            -8,             0, -3146.40698242, 1065.04748535,          4000, -16.8535556793, -3.29800772667, 2.53865718842
        0.575, -0.769999980927,            -8,             0, -3147.39208984, 1079.01855469,          4000, -16.9348716736, -3.44251847267, 2.57675814629
          0.6, -0.759999990463,            -8,             0, -3148.26196289, 1093.27307129,          4000, -17.0178356171, -3.58631515503, 2.61473822594
        0.625,         -0.75,            -8,             0, -3149.00878906,  1107.8190918,          4000, -17.1024971008, -3.72936797142, 2.65256667137
         0.65, -0.740000009537,            -8,             0, -3149.62329102, 1122.66552734,          4000, -17.1889076233, -3.8716468811, 2.69021010399
        0.675, -0.730000019073,            -8,             0, -3150.09692383, 1137.82128906,          4000, -17.2771186829, -4.01312255859, 2.72763228416
          0.7, -0.72000002861,            -8,             0, -3150.41943359,  1153.2956543,          4000, -17.3671836853, -4.15376567841, 2.76479434967
        0.725, -0.709999978542,            -8,             0, -3150.58056641,  1169.0982666,          4000, -17.4591598511, -4.29354715347,   2.801653862
         0.75, -0.699999988079,            -8,             0, -3150.56958008, 1185.23937988,          4000, -17.553106308, -4.43243789673, 2.83816552162
        0.775, -0.689999997616,            -8,             0, -3150.37426758, 1201.72924805,          4000, -17.6490821838, -4.57040882111, 2.87427973747
